,speaker,content,block,session,labels_h,labels
121,Dash,Mhm.,0,1903,statement,0
122,Dash,I hope our girl came today.,0,1903,statement,0
123,Natash,Can we just take a photo next time of the password and username? We basically never use this folder. Only when we log in.,0,1903,statement,0
124,Ali,"I’m saying I saved it in notepad and now I can copy and paste it. I left it on the desktop, that’s it. Copy Paste and you don’t have to type it again.",0,1903,question,4
125,Natash,Well done. Remind me to do that as well.,0,1903,backchannel,2
126,Ali,Okay.,0,1903,statement,0
127,Zheny,Seventy-three…,0,1903,statement,0
128,Zheny,"Ah, I also need… quotation marks. Where are the quotation marks?",0,1903,statement,0
129,Ali,"Ryan, can you hep him with the notepad? That way he will just save it to the desktop.",0,1903,statement,0
130,Rya,Yeah.,0,1903,statement,0
131,Alik to Zheny,"Zhenya, he’ll just type it for you, so that file is always on your desktop. You can just copy it.",0,1903,floor-grabber,3
132,Zheny,Wonderful.,0,1903,question,4
133,Ryan to Zheny,May I?,0,1903,statement,0
134,Zheny,Yes. Yes.,0,1903,backchannel,2
135,Alik to Dash,"Dasha, you logged in already?",0,1903,statement,0
136,Dash,A long time ago.,0,1903,statement,0
137,Ali,Mhm okay.,0,1903,question,4
138,Ali,"Well, actually you could write it too. We all have a five-minute delay.",0,1903,statement,0
139,Natash,Already… Did Nastya write that? To the Engineer?,0,1903,question,4
140,Ryan to Zheny,[UI],0,1903,statement,0
141,Zheny,"//So, do we need to write something yet?",0,1903,statement,0
142,Natash,"Apparently, we have a delay between each other as well, because //I don’t see the messages.",0,1903,statement,0
143,Ali,"//So, look. We have forty-five minutes to complete the assignment, just like last time…So…Most importantly, right now we need to establish contact. Just write //“Hi” to them.",0,1903,question,4
144,Natash,I see three messages from Dasha.,0,1903,question,4
145,Ali,//That’s good.,0,1903,question,4
146,Dash,//I also see messages but they’re identical.,0,1903,statement,0
147,Natash,Yes.,0,1903,statement,0
148,Dash,I see //my messages in another chat.,0,1903,statement,0
149,Ali,//Sometimes you just chat with someone [SL] whatever you want to so they can answer.,0,1903,statement,0
150,Dash,//So rotten…,0,1903,statement,0
151,Natash,//[UI],0,1903,disruption,1
152,Ali,"So, how is today different from last time? We just have a new point. There it is. [SL]Plantation or what is it? [SL] Plantation nineteen forty-eight.",0,1903,statement,0
153,Natash,//Nineteen forty-eight?,0,1903,statement,0
154,Ali,"//Nineteen forty-eight. It’s a new place and there are eight of them. So, I assume we will just be looking at all those places, right? Today we’re looking at this nineteen forty-eight.",0,1903,statement,0
155,Natash,"They said it has the biggest water deposits, but it’s polluted. //Do I understand that right? //Nitrate…",0,1903,floor-grabber,3
156,Ali,//It’s very dirty there. //Lots of dust. Yes.,0,1903,disruption,1
157,Natash,Lots of many things…,0,1903,statement,0
158,Ali,"So the water will be very dirty, it’s difficult to work there, and there are lots of craters… So, it’s not a great place. //[UI]",0,1903,question,4
159,Zheny,"//So we just enter them in, right?",0,1903,statement,0
160,Natash,Mhm.,0,1903,question,4
161,Zheny,Nineteen?,0,1903,statement,0
162,Ali,Nineteen forty-eight.,0,1903,statement,0
163,Natash,There is very tough //soil.,0,1903,statement,0
164,Dash,//Forty-eight.,0,1903,question,4
165,Zheny,I wrote a lot today.,0,1903,backchannel,2
166,Ali,Lots of what?,0,1903,question,4
167,Zheny,I wrote a lot.,0,1903,statement,0
168,Dash,Where? In all the chats?,0,1903,statement,0
169,Zheny,"Well, in the chat.",0,1903,statement,0
170,Ali,He wrote to everyone.,0,1903,statement,0
171,Nasty,//[UI],0,1903,disruption,1
172,Rya,//Hello.,0,1903,question,4
173,Alik to Nasty,Nineteen forty-eight – that’s our square today.,0,1903,statement,0
174,Natash,[SL] You can get to work.,0,1903,question,4
175,Ali,Yes. You don’t have to wait for their answer. We can establish some numbers there ourselves.,0,1903,statement,0
176,Dash,There’s a message for us here.,0,1903,statement,0
177,Ali,And who is [SL] Fueling?,0,1903,disruption,1
178,Natash,Me. //Nothing yet.,0,1903,statement,0
179,Ali,//I see… There is a connection.,0,1903,statement,0
180,Natash,Is that between you all?,0,1903,statement,0
181,Ali,"Yes, we’re sitting right here.",0,1903,statement,0
182,Dash,Did you take something?,1,1903,statement,0
183,Natash,Mhm.,1,1903,question,4
184,Natasha to Dash,I did… I’m just telling you what is written here. Wattage is four hundred thousand.,1,1903,statement,0
185,Dash,Four hundred thousand?,1,1903,statement,0
186,Natash,"Yes, watts. Torque is forty on ninety thousand and [UI]",1,1903,question,4
187,Dash,"Both, right?",1,1903,statement,0
188,Natash,Mhm.,1,1903,disruption,1
189,Dash,"As far as I see, our lady has filter A and that’s it. And we only need…",1,1903,backchannel,2
190,Natash,Like last time [SL] how many minutes?,1,1903,statement,0
191,Dash,Do I understand correctly the higher [UI] the better? … [UI]?,1,1903,question,4
192,Ali,Yes.,1,1903,disruption,1
193,Zheny,"Well, not for the address…",1,1903,question,4
194,Ali,[UI],1,1903,backchannel,2
195,Rya,[UI],1,1903,statement,0
196,Nasty,Did you write that?,1,1903,question,4
197,Ali,I didn’t write anything. Dasha was asking that.,1,1903,question,4
198,Nasty,"No, at the first [UI]",1,1903,statement,0
199,Ali,Yes. But did it make it to you?,1,1903,floor-grabber,3
200,Nasty,"Mhm, just now.",1,1903,disruption,1
201,Ali,Good.,1,1903,disruption,1
202,Natash,And [SL] Pipe restriction is where?,1,1903,question,4
203,Dash,For me it’s on the very first line.,1,1903,statement,0
204,Dash,Don’t see it?,1,1903,disruption,1
205,Natash,No.,1,1903,question,4
206,Dash,Mhm… I’ll change it…,1,1903,statement,0
207,Natasha to Dash,How are you writing it?,1,1903,statement,0
208,Dash,I have forty now.,1,1903,question,4
209,Natash,"Nothing yet… But you changed something, right?",1,1903,statement,0
210,Nastya to Ali,"You still haven’t entered anything, right?",1,1903,question,4
211,Ali,Me?,1,1903,statement,0
212,Nasty,Yes.,1,1903,disruption,1
213,Ali,Why? I did.,1,1903,question,4
214,Nasty,You did?,1,1903,statement,0
215,Ali,Yes. All my data.,1,1903,question,4
216,Zheny,"Save with this checkmark, right?",1,1903,question,4
217,Alik to Nasty,"Yes, I already entered them. You don’t see them?",1,1903,question,4
218,Nasty,I don’t see them.,1,1903,statement,0
219,Dash,"Ahh, done.",1,1903,statement,0
220,Zheny,What do we need here?,1,1903,question,4
221,Ali,Select or don’t select. And then hit submit.,1,1903,statement,0
222,Nastya to Dash,"You’re fluid, right?",1,1903,question,4
223,Dash,"Mhm… Writing horrible things about me again, eh?",1,1903,question,4
224,Nasty,Mhm.,1,1903,statement,0
225,Dash,I can keep going.,1,1903,statement,0
226,Nasty,"You’ll show your integrity, what you write to a child about [UI].",1,1903,question,4
227,Dash,"Well, yeah.",1,1903,statement,0
228,Nasty,[UI],1,1903,question,4
229,Dash,Just if you have nothing to cover yourself from the rain…,1,1903,question,4
230,Nasty,Mhm… I have a problem.,1,1903,backchannel,2
231,Dash,A very big problem.,1,1903,statement,0
232,Nasty,Again?,1,1903,statement,0
233,Dash,I’m changing to thirty.,1,1903,statement,0
234,Ali,"Nastya, //you can see mine here, no?",1,1903,disruption,1
235,Dash,//[UI],1,1903,disruption,1
236,Nasty,//No.,1,1903,floor-grabber,3
237,Ali,Strange…,1,1903,statement,0
238,Nasty,But can you see mine?,1,1903,statement,0
239,Ali,No.,1,1903,question,4
240,Dash,I see yours… in the chat between you two.,1,1903,statement,0
241,Ali,Something is wrong.,1,1903,question,4
242,Nasty,[UI],1,1903,disruption,1
243,Zheny,"Okay, I typed something in here. //[UI]",1,1903,statement,0
244,Rya,//[UI],1,1903,disruption,1
245,Dash,"So, E thirty.",1,1903,floor-grabber,3
246,Natash,"Yes, I’m changing watts and torque for now.",1,1903,question,4
247,Dash,I don’t understand. [SL] Something is still broken.,1,1903,statement,0
248,Rya,[UI],1,1903,statement,0
249,Natash,//[UI],1,1903,disruption,1
250,Ali,//[UI],1,1903,disruption,1
251,Rya,I chose…,1,1903,statement,0
252,Zheny,You chose?,1,1903,disruption,1
253,Rya,"Yes, this one…",1,1903,statement,0
254,Zheny,Mhm. [SL] Now you need to enter your own… One as well?,1,1903,statement,0
255,Rya,"Yes. One, one and then //checkmark.",1,1903,statement,0
256,Nastya to Ali,"//What did you do? //Ah, just that?",1,1903,statement,0
257,Ali,"Yes, [UI]",1,1903,statement,0
258,Nasty,"Yes, but why?",1,1903,statement,0
259,Ali,Just…,1,1903,disruption,1
260,Nasty,Then do it …for me too… Can you do mine now?,1,1903,disruption,1
261,Ali,…,1,1903,disruption,1
262,Ryan to Zheny,And then… above…,1,1903,question,4
263,Ali,Yours…//This is mine…,1,1903,floor-grabber,3
264,Nasty,"//Well yes, but mine… I also took. //Here it is.",1,1903,question,4
265,Rya,//[UI],1,1903,disruption,1
266,Natash,"Dasha, does yours work?",1,1903,statement,0
267,Dash,//[UI],1,1903,disruption,1
268,Rya,//[UI],1,1903,disruption,1
269,Alik to Nasty,//[UI],1,1903,disruption,1
270,Natash,"//Well, if needed, enter watts at five hundred thousand…",1,1903,question,4
271,Ali,//here someone wrote…,1,1903,question,4
272,Dash,//[UI],1,1903,disruption,1
273,Ryan to Zheny,//Options…,1,1903,question,4
274,Natash,And circulations…,1,1903,floor-grabber,3
275,Ryan to Zheny,And maybe checkmark…,1,1903,question,4
276,Dash,//[UI],1,1903,disruption,1
277,Rya,Yes.,1,1903,floor-grabber,3
278,Nastya to Ali,[UI],1,1903,floor-grabber,3
279,Rya,Click the checkmark and see if…,1,1903,floor-grabber,3
280,Ali,But who is hydrogeologist?,1,1903,statement,0
281,Nasty,That girl is…,1,1903,statement,0
282,Ali,"Ah, yeah… [UI]",1,1903,question,4
283,Ryan to Zheny,Yes…,1,1903,disruption,1
284,Nasty,And so… these two here need to sign off. Because I can’t see them. [UI],1,1903,disruption,1
285,Dash,They’re such dorks…,1,1903,disruption,1
286,Zheny,[UI],1,1903,floor-grabber,3
287,Dash,"Yes, and you in particular.",1,1903,floor-grabber,3
288,Ali,Me? //I’m not on your team.,1,1903,disruption,1
289,Dash,"Yes. //I asked you: [SL] Pipe restrictions – the more the better? You said: Yes. I thought I did that, and it turns out I didn’t. The more, the [UI]",1,1903,floor-grabber,3
290,Natash,[UI],1,1903,floor-grabber,3
291,Ali,"Ah, now I see, Nastya.",1,1903,floor-grabber,3
292,Nasty,Yes? //[UI],1,1903,disruption,1
293,Rya,[UI],1,1903,statement,0
294,Ali,"Maybe it works, but not where we are… We only understood that the fourth time…//Fine, now I’ll show you…",1,1903,disruption,1
295,Natash,//[UI],1,1903,disruption,1
296,Nasty,Okay.,1,1903,floor-grabber,3
297,Ali,Just a second.,1,1903,question,4
298,Nasty,I can see you entering there [UI] A.,1,1903,floor-grabber,3
299,Ali,"Yeah…//Well, then…",1,1903,disruption,1
300,Dasha to Rya,//Everything is working.,1,1903,floor-grabber,3
301,Ali,Then it was all in vain…,1,1903,statement,0
302,Dash,[UI],1,1903,floor-grabber,3
303,Rya,Hmm. Refresh maybe.,1,1903,disruption,1
304,Nasty,"Oh, great. We now have… Nine thousand //for population.",1,1903,statement,0
305,Dash,//Yours and mine…,1,1903,statement,0
306,Ali,"Oh, that’s good…",1,1903,question,4
307,Nasty,"Yes, we’re finally not in the negatives.",1,1903,statement,0
308,Ali,That’s it… win.,1,1903,statement,0
309,Nasty,It’s good. I mean we have not much. It’s nine thousand – not minus like// last time. //[UI]population.,1,1903,question,4
310,Ali,"//That’s it, Zhenya, people aren’t dying…",1,1903,question,4
311,Zheny,//Yeah? //Thank God. //What do we need to do?,1,1903,disruption,1
312,Rya,//But we have [UI]?,1,1903,disruption,1
313,Dash,//[UI],1,1903,disruption,1
314,Ali,//Over there where Sign off is…,1,1903,statement,0
315,Rya,//[UI],1,1903,disruption,1
316,Ali,//You see sign off?,1,1903,statement,0
317,Zheny,//Yes.,1,1903,statement,0
318,Ryan to Nasty,//[UI],1,1903,disruption,1
319,Ali,//And right under Sign off you see the number of people. How many people.,1,1903,floor-grabber,3
320,Zheny,"Well, I see nine.",1,1903,statement,0
321,Dash,//[UI],1,1903,disruption,1
322,Ali,"//There. Nine thousand three hundred ninety-one, right?",1,1903,floor-grabber,3
323,Zheny,Mhm.,1,1903,disruption,1
324,Ali,"There. So, that’s how many people //we can supply with water.",1,1903,statement,0
325,Natash,"//[SL] Cooper we’re leaving forty, right?",1,1903,statement,0
326,Dash,"//Right now. So, I reloaded everything and //[UI]",1,1903,floor-grabber,3
327,Zheny,//Totally awesome. //What do you need there? //Checkmark and…,1,1903,floor-grabber,3
328,Ali,"[SL] You need to reward the others as well. //If you’re ready, you can already…",1,1903,statement,0
329,Zheny,I was ready from the beginning.,1,1903,statement,0
330,Ali,So did you already //answer yours?,1,1903,statement,0
331,Nasty,//Did you already sign off?,1,1903,statement,0
332,Zheny,"No, I’m not answering… They already know [UI]",1,1903,question,4
333,Ali,"Okay, I’m activating Sign off now too…",1,1903,question,4
334,Nasty,"Ok, me too.",1,1903,disruption,1
335,Ali,Nastya and I are ready.,1,1903,floor-grabber,3
336,Zheny,"Well, place the checkmark?",1,1903,disruption,1
337,Dash,No.,1,1903,question,4
338,Nasty,Alik and I placed ours already.,1,1903,statement,0
339,Ali,Dasha isn’t ready yet.,1,1903,disruption,1
340,Zheny,So now them and us.,1,1903,statement,0
341,Nasty,"Well, we clicked already.",1,1903,statement,0
342,Ali,And meteorologist… Ryan already placed one.,1,1903,disruption,1
343,Zheny,"Well, yeah.",1,1903,question,4
344,Rya,I placed one.,1,1903,backchannel,2
345,Zheny,You’re falling behind.,1,1903,statement,0
346,Dash,And [SL] CBC fifty was there initially?,1,1903,question,4
347,Natash,"//[UI]…ah, [SL] CBC?",1,1903,statement,0
348,Dash,"No, [SL]CBC fifty… Tell me, please, five hundred thousand eight hundred… eighty thousand is correct for watts, right?",1,1903,question,4
349,Natash,Yes… [UI],1,1903,statement,0
350,Dash,"Anyway, what’s here? Nothing?",1,1903,statement,0
351,Natash,Your numbers don’t increase my output somehow. Only my numbers increase my output.,1,1903,question,4
352,Dash,"Yes, yes, yes.",1,1903,question,4
353,Rya,Pumps work…,1,1903,disruption,1
354,Natash,"Yes. Torque… So, here we also have [UI] since they also placed checkmarks, entering more won’t work.",1,1903,disruption,1
355,Dash,//Eighteen.,1,1903,statement,0
356,Rya,"//Eghteen… [UI] [SL] no, no, no… pipe materials.//CBC",1,1903,statement,0
357,Dash,[SL] CC.,1,1903,question,4
358,Rya,Which one?,1,1903,statement,0
359,Dash,"Five fifty… but, [UI] //[SL] eighty thousand.",1,1903,statement,0
360,Ali,"So, they didn’t answer you, right Nastya? Your question… Very good.",1,1903,statement,0
361,Nasty,They’re probably afraid [UI],1,1903,statement,0
362,Dash,[UI],1,1903,statement,0
363,Ali,Nastya said they are scared to answer.,1,1903,statement,0
364,Dash,[SL] Why do we need these Chicagoans?,1,1903,statement,0
365,Zheny,//[UI],1,1903,disruption,1
366,Ali,No answers about… She answered me.//[UI],1,1903,statement,0
367,Natash,//[UI],1,1903,disruption,1
368,Dash,Ah Chicago – no.,1,1903,statement,0
369,Ali,Can Chicago hear anything?,1,1903,question,4
370,Dash,So why didn’t [SL] Zarya log on? We already logged on.,1,1903,question,4
371,Nasty,//I do but hydrogeologist [SL] is not answering.,1,1903,question,4
372,Rya,Maybe they are not even on.,1,1903,disruption,1
373,Ali,"No, they are on. They answered.",1,1903,question,4
374,Rya,"//Oh, they did? Ok.",1,1903,statement,0
375,Natash,//It worked. I see that checkmark.,1,1903,statement,0
376,Dash,//Did you eat a walnut?,1,1903,floor-grabber,3
377,Ali,//[UI],1,1903,disruption,1
378,Nasty,No.,1,1903,statement,0
379,Dash,It’s like having soap in your mouth.,1,1903,statement,0
380,Nasty,//There is soap in the walnut.,1,1903,statement,0
381,Zheny,//Walnuts with soap are also delicious.,1,1903,statement,0
382,Dash,What kind again?,1,1903,question,4
383,Zheny,They just washed it but forgot to rinse.,1,1903,statement,0
384,Nasty,[UI],1,1903,statement,0
385,Dash,"Ah, I get it now. Yes.",1,1903,question,4
386,Ali,"She ate a walnut. She said it tasted like soap in her mouth. And she is like: “Yeah. It’s just a soap in your walnut” [UI]. //It’s fine, right? Like that.",1,1903,disruption,1
387,Rya,[UI],1,1903,statement,0
388,Zheny,No worries.,1,1903,question,4
389,Ali,Like that…,1,1903,statement,0
390,Dash,"We’re waiting for six of them, right?",1,1903,statement,0
391,Ali,We already did everything. We can wait.,1,1903,statement,0
392,Nasty,They just have [UI],1,1903,statement,0
393,Ali,Yes.,1,1903,question,4
394,Zheny,"Well, of course //we already finished.",1,1903,statement,0
395,Ali,//[UI],1,1903,disruption,1
396,Natash,"Oh, I got hungry suddenly.",1,1903,question,4
397,Zheny,Of course. You’re working hard.,1,1903,statement,0
398,Dash,"And, anyway, that’s why… none of them never did anything in the past.",1,1903,statement,0
399,Nasty,I think they just didn’t turn it on.//Our office is also relaxing now.,1,1903,question,4
400,Alik to Dash,//[UI],1,1903,disruption,1
401,Natash,Mechanical is me.,1,1903,statement,0
402,Dash,Terrain specialist  is also ours. Meteorologist is ours too. //[UI,1,1903,question,4
403,Nastya to Ali,"//We need to connect with them somehow, maybe then they’ll…",1,1903,disruption,1
404,Ali,"Well, they’re writing to us. She even answered one of them…",1,1903,statement,0
405,Nasty,We have one – hydrogeologist. She’s alive.,1,1903,statement,0
406,Natash,She just doesn’t have time to answer for everyone.,1,1903,statement,0
407,Dash,"She’s like our Duma with those buttons, right?",1,1903,statement,0
408,Natash,"On all the rows, right?",1,1903,question,4
409,Dash,Drilling wrote something there… Drilling is yours?,1,1903,statement,0
410,Nasty,//Yes.,1,1903,question,4
411,Ali,//Yes. It’s Valeria.,1,1903,statement,0
412,Dash,And ours is totally lost.,1,1903,statement,0
413,Ali,They’re drinking tea.,1,1903,question,4
414,Zheny,Building…,1,1903,statement,0
415,Dash,Maybe [UI],1,1903,floor-grabber,3
416,Zheny,While [UI]… while [UI] . I wonder– should we play this again?,1,1903,question,4
417,Ali,We still need to //send letters.,1,1903,statement,0
418,Natash,//Letters.,1,1903,disruption,1
419,Zheny,But we won’t be in this then?,1,1903,statement,0
420,Ali,"Well, it’s ending now. Forty-five minutes… There… then we need to do one questionnaire and then send out letters.",1,1903,statement,0
421,Zheny,They’re not cancelling the questionnaire?,1,1903,statement,0
422,Ali,[UI]? … no.,1,1903,statement,0
423,Zheny,[UI],1,1903,statement,0
424,Dash,"Dang, really… bitter.",1,1903,statement,0
425,Zheny,Want another one?,1,1903,statement,0
426,Dash,I don’t want another one.,1,1903,statement,0
427,Ali,"Nastya, they aren’t writing you, are they?",1,1903,statement,0
428,Nasty,No.,1,1903,statement,0
429,Zheny,"I don’t know. For the second time, they didn’t send me the time. They used to at least tell me.",1,1903,floor-grabber,3
430,Alik to Nasty,//But can you see me?,1,1903,floor-grabber,3
431,Nastya to Ali,Are you doing something now?,1,1903,statement,0
432,Ali,"I wrote, yes.",1,1903,statement,0
433,Nasty,Just a sec. I’m answering…,1,1903,question,4
434,Zheny,I tried so hard. “Hello” I wrote.,1,1903,question,4
435,Natash,All for nothing…,1,1903,question,4
436,Zheny,I studied.,1,1903,statement,0
437,Ali,Twice the number of letters as last time.,1,1903,statement,0
438,Dash,We have such a cool chat with each other. How did I end up on a robot team anyway? [UI],1,1903,statement,0
439,Ali,[UI],1,1903,statement,0
440,Dash,Get out the herring and potatoes… I’m hungry.,1,1903,floor-grabber,3
441,Natash,With pleasure.,1,1903,disruption,1
442,Dash,To [UI] I also agree.,1,1903,question,4
443,Alik to Nasty,And you?,1,1903,statement,0
444,Nasty,"Well, see – zero?",1,1903,statement,0
445,Ali,"Ryan, did you get any messages?",1,1903,question,4
446,Rya,"//No, I don’t have.",1,1903,statement,0
447,Zheny,//Did it work?,1,1903,question,4
448,Ali,"Look: when they don’t do anything, we have good results- nine thousand people.",1,1903,statement,0
449,Natash,Yes.,1,1903,question,4
450,Ali,No. I’m not saying anything. That’s just //how it is.,1,1903,statement,0
451,Dash,//Statistics.,1,1903,question,4
452,Zheny,We’re doing it.,1,1903,statement,0
453,Natash,"We’re just sitting, watching, and doing nothing.",1,1903,question,4
454,Zheny,"No, they’re probably reporting on paper: “Haven’t you even learned a couple words to answer with?”",1,1903,statement,0
455,Dash,[UI],1,1903,statement,0
456,Zheny,While sitting and reading…,1,1903,question,4
457,Ali,"//But Nastya, on the contrary, wrote that she liked their video.",1,1903,question,4
458,Dash,//I didn’t offend anyone…,1,1903,statement,0
459,Nasty,//[UI],1,1903,disruption,1
460,Ali,She wrote to them…,1,1903,disruption,1
461,Zheny,Nastya?,1,1903,statement,0
462,Ali,Yes.,1,1903,floor-grabber,3
463,Zheny,It’s a good video. Some funny people in it. That Max is a good guy.,1,1903,statement,0
464,Ali,Our guy.,1,1903,statement,0
465,Zheny,Yes… I feel like he eats well. Very good.,1,1903,question,4
466,Nasty,Will they translate us? All these conversations?,1,1903,question,4
