,speaker,content,session,BC_Trans_Preds
45,Zheny,"That’s fine, do nothing and watch a video.",1903,statement
46,Ali,"At first, yes. The video is //fourteen minutes…",1903,floor-grabber
47,Zheny,//That’s pretty good.,1903,statement
48,Dash,The clock is ticking…,1903,floor-grabber
49,Zheny,The soldier sleeps away his service.,1903,statement
50,Natash,Ready to turn on.,1903,statement
51,Ali,Everyone ready?,1903,question
52,Natash,Yes.,1903,statement
53,Ali,"One, two, three.",1903,statement
54,Zheny,Okay.,1903,statement
55,Ali,"Now we need to open Project Red, Training, Training videos… Project Red, Training, Training videos…",1903,floor-grabber
56,Zheny,Training… Training videos,1903,floor-grabber
57,Ali,"Mhm… And play. Only one computer will have sound, and we’ll all// listen to it.",1903,statement
58,Natash,//Can we listen to it all with headphones?,1903,question
59,Dash,"Yes, let’s do headphones.",1903,statement
60,Ali,"You want to use headphones? //Well, go ahead, as you like.",1903,question
61,Natash,"//Well, of course…",1903,question
62,Dash,//Which video?,1903,question
63,Ali,The first one: Design overview.,1903,statement
64,Zheny,Excellent.,1903,statement
65,Ali,We’ve seen this three times now.,1903,statement
66,Zheny,We saw this film? //[UI],1903,question
67,Ali,[UI],1903,question
68,Zheny,[UI],1903,disruption
69,-,37,1903,floor-grabber
70,Ali,[SL] Project assignment,1903,floor-grabber
71,Ali,That’s it. We watch our individual video next.,1903,statement
72,Ali,"On the second video now, right?",1903,question
73,Zheny,Mhm.,1903,backchannel
74,Nasty,Messages //[UI],1903,disruption
75,Dash,[UI]…Things are going.,1903,statement
76,Nasty,It happens. Oh.,1903,statement
77,Ali,[UI]… [UI]?,1903,question
78,Rya,No,1903,floor-grabber
79,Ali,"So, everyone ready?",1903,question
80,Rya,May I ask if you could brag one of those binders [UI],1903,disruption
81,Ali,"That’s right, yeah… one second… We need them all. Don’t we?",1903,question
82,Rya,"Yes, we do. [UI]",1903,statement
83,Zheny,[UI],1903,disruption
84,Ali,And this is for Dasha.,1903,statement
85,Zheny,Thanks.,1903,statement
86,Ali,This is me.,1903,statement
87,Zheny,"Ah, meteorologist.  Meteorologist.",1903,statement
88,Ali,"This is you, Zhenya – terrain.",1903,statement
89,Zheny,Terrain – yes.,1903,statement
90,Ali,"This is Nastya… Mechanical, ah, this is you. Sorry.",1903,statement
91,Natash,I’m still on your crew.,1903,statement
92,Ali,"So, next we go to the folder where it says, “Crew Data.”",1903,statement
93,Zheny,"Crew Data. //So, we leave here again?",1903,question
94,Ali,//Then Project Red… It’s on your desktop “Crew Data.”,1903,statement
95,Zheny,"Ah, so we just minimize this, right?",1903,question
96,Ali,"Yes, you can just minimize. Crew Data, Project Red… MD forty-three.",1903,statement
97,Nasty,"Wait, please.",1903,statement
98,Ali,MD forty-three.,1903,statement
99,Zheny,"Oh, something happened here.",1903,statement
100,Ali,"//Yes, you can stop.",1903,statement
101,Natash,//Is that old?,1903,question
102,Ali,"It’s new. It’s today. I mean, for today.",1903,statement
103,Ali,Now we listen to our friends. Yes… Oh! Maxwell is first.,1903,statement
104,Zheny,[SL] We’re family.,1903,statement
105,Nasty,I’m already //overheating.,1903,statement
106,Ali,//[UI],1903,disruption
107,Natash,Sounds the same as last time.,1903,statement
108,Ali,[UI] Anastasia.,1903,statement
109,Nastya,Not happening.,1903,statement
110,Zheny,Something is delaying everything.,1903,statement
111,Ali,That’s us.,1903,statement
112,Ali,Are we still listening? …They are still listening.,1903,statement
113,Ali,"She is still listening… Ryan, are you still listening?",1903,question
114,Rya,No.,1903,statement
115,Ali,"Everyone ready? So, in the same exact folder we click on “Project Red Design.” Right where “Project Red Design” was. We go to the website in the folder… in the white folder everyone has a login like last time.",1903,statement
116,Dash,This really long password?,1903,question
117,Ali,"Yes, everyone should just write that down in notepad.",1903,statement
118,Dash,Or open the presentation and copy paste.,1903,statement
119,Ali,Yes.,1903,statement
120,Zheny,"So, this big one, right?",1903,question
121,Dash,Mhm.,1903,backchannel
122,Dash,I hope our girl came today.,1903,statement
123,Natash,Can we just take a photo next time of the password and username? We basically never use this folder. Only when we log in.,1903,statement
124,Ali,"I’m saying I saved it in notepad and now I can copy and paste it. I left it on the desktop, that’s it. Copy Paste and you don’t have to type it again.",1903,statement
125,Natash,Well done. Remind me to do that as well.,1903,statement
126,Ali,Okay.,1903,statement
127,Zheny,Seventy-three…,1903,floor-grabber
128,Zheny,"Ah, I also need… quotation marks. Where are the quotation marks?",1903,question
129,Ali,"Ryan, can you hep him with the notepad? That way he will just save it to the desktop.",1903,statement
130,Rya,Yeah.,1903,backchannel
131,Alik to Zheny,"Zhenya, he’ll just type it for you, so that file is always on your desktop. You can just copy it.",1903,statement
132,Zheny,Wonderful.,1903,statement
133,Ryan to Zheny,May I?,1903,question
134,Zheny,Yes. Yes.,1903,statement
135,Alik to Dash,"Dasha, you logged in already?",1903,question
136,Dash,A long time ago.,1903,statement
137,Ali,Mhm okay.,1903,statement
138,Ali,"Well, actually you could write it too. We all have a five-minute delay.",1903,statement
139,Natash,Already… Did Nastya write that? To the Engineer?,1903,question
140,Ryan to Zheny,[UI],1903,question
141,Zheny,"//So, do we need to write something yet?",1903,question
142,Natash,"Apparently, we have a delay between each other as well, because //I don’t see the messages.",1903,statement
143,Ali,"//So, look. We have forty-five minutes to complete the assignment, just like last time…So…Most importantly, right now we need to establish contact. Just write //“Hi” to them.",1903,statement
144,Natash,I see three messages from Dasha.,1903,statement
145,Ali,//That’s good.,1903,statement
146,Dash,//I also see messages but they’re identical.,1903,statement
147,Natash,Yes.,1903,statement
148,Dash,I see //my messages in another chat.,1903,statement
149,Ali,//Sometimes you just chat with someone [SL] whatever you want to so they can answer.,1903,statement
150,Dash,//So rotten…,1903,floor-grabber
151,Natash,//[UI],1903,disruption
152,Ali,"So, how is today different from last time? We just have a new point. There it is. [SL]Plantation or what is it? [SL] Plantation nineteen forty-eight.",1903,statement
153,Natash,//Nineteen forty-eight?,1903,question
154,Ali,"//Nineteen forty-eight. It’s a new place and there are eight of them. So, I assume we will just be looking at all those places, right? Today we’re looking at this nineteen forty-eight.",1903,statement
155,Natash,"They said it has the biggest water deposits, but it’s polluted. //Do I understand that right? //Nitrate…",1903,question
156,Ali,//It’s very dirty there. //Lots of dust. Yes.,1903,statement
157,Natash,Lots of many things…,1903,statement
158,Ali,"So the water will be very dirty, it’s difficult to work there, and there are lots of craters… So, it’s not a great place. //[UI]",1903,statement
159,Zheny,"//So we just enter them in, right?",1903,question
160,Natash,Mhm.,1903,backchannel
161,Zheny,Nineteen?,1903,question
162,Ali,Nineteen forty-eight.,1903,statement
163,Natash,There is very tough //soil.,1903,statement
164,Dash,//Forty-eight.,1903,statement
165,Zheny,I wrote a lot today.,1903,statement
166,Ali,Lots of what?,1903,question
167,Zheny,I wrote a lot.,1903,statement
168,Dash,Where? In all the chats?,1903,question
169,Zheny,"Well, in the chat.",1903,statement
170,Ali,He wrote to everyone.,1903,statement
171,Nasty,//[UI],1903,disruption
172,Rya,//Hello.,1903,statement
173,Alik to Nasty,Nineteen forty-eight – that’s our square today.,1903,statement
174,Natash,[SL] You can get to work.,1903,statement
175,Ali,Yes. You don’t have to wait for their answer. We can establish some numbers there ourselves.,1903,statement
176,Dash,There’s a message for us here.,1903,statement
177,Ali,And who is [SL] Fueling?,1903,question
178,Natash,Me. //Nothing yet.,1903,statement
179,Ali,//I see… There is a connection.,1903,statement
180,Natash,Is that between you all?,1903,question
181,Ali,"Yes, we’re sitting right here.",1903,statement
182,Dash,Did you take something?,1903,disruption
183,Natash,Mhm.,1903,backchannel
184,Natasha to Dash,I did… I’m just telling you what is written here. Wattage is four hundred thousand.,1903,statement
185,Dash,Four hundred thousand?,1903,question
186,Natash,"Yes, watts. Torque is forty on ninety thousand and [UI]",1903,disruption
187,Dash,"Both, right?",1903,question
188,Natash,Mhm.,1903,backchannel
189,Dash,"As far as I see, our lady has filter A and that’s it. And we only need…",1903,statement
190,Natash,Like last time [SL] how many minutes?,1903,question
191,Dash,Do I understand correctly the higher [UI] the better? … [UI]?,1903,question
192,Ali,Yes.,1903,statement
193,Zheny,"Well, not for the address…",1903,floor-grabber
194,Ali,[UI],1903,disruption
195,Rya,[UI],1903,disruption
196,Nasty,Did you write that?,1903,question
197,Ali,I didn’t write anything. Dasha was asking that.,1903,statement
198,Nasty,"No, at the first [UI]",1903,disruption
199,Ali,Yes. But did it make it to you?,1903,question
200,Nasty,"Mhm, just now.",1903,statement
201,Ali,Good.,1903,statement
202,Natash,And [SL] Pipe restriction is where?,1903,question
203,Dash,For me it’s on the very first line.,1903,statement
204,Dash,Don’t see it?,1903,question
205,Natash,No.,1903,statement
206,Dash,Mhm… I’ll change it…,1903,disruption
207,Natasha to Dash,How are you writing it?,1903,question
208,Dash,I have forty now.,1903,statement
209,Natash,"Nothing yet… But you changed something, right?",1903,question
210,Nastya to Ali,"You still haven’t entered anything, right?",1903,question
211,Ali,Me?,1903,question
212,Nasty,Yes.,1903,statement
213,Ali,Why? I did.,1903,statement
214,Nasty,You did?,1903,question
215,Ali,Yes. All my data.,1903,statement
216,Zheny,"Save with this checkmark, right?",1903,question
217,Alik to Nasty,"Yes, I already entered them. You don’t see them?",1903,question
218,Nasty,I don’t see them.,1903,statement
219,Dash,"Ahh, done.",1903,statement
220,Zheny,What do we need here?,1903,question
221,Ali,Select or don’t select. And then hit submit.,1903,statement
222,Nastya to Dash,"You’re fluid, right?",1903,question
223,Dash,"Mhm… Writing horrible things about me again, eh?",1903,question
224,Nasty,Mhm.,1903,backchannel
225,Dash,I can keep going.,1903,statement
226,Nasty,"You’ll show your integrity, what you write to a child about [UI].",1903,statement
227,Dash,"Well, yeah.",1903,statement
228,Nasty,[UI],1903,disruption
229,Dash,Just if you have nothing to cover yourself from the rain…,1903,floor-grabber
230,Nasty,Mhm… I have a problem.,1903,statement
231,Dash,A very big problem.,1903,statement
232,Nasty,Again?,1903,question
233,Dash,I’m changing to thirty.,1903,statement
234,Ali,"Nastya, //you can see mine here, no?",1903,question
235,Dash,//[UI],1903,disruption
236,Nasty,//No.,1903,statement
237,Ali,Strange…,1903,floor-grabber
238,Nasty,But can you see mine?,1903,question
239,Ali,No.,1903,statement
240,Dash,I see yours… in the chat between you two.,1903,statement
241,Ali,Something is wrong.,1903,statement
242,Nasty,[UI],1903,disruption
243,Zheny,"Okay, I typed something in here. //[UI]",1903,statement
244,Rya,//[UI],1903,statement
245,Dash,"So, E thirty.",1903,statement
246,Natash,"Yes, I’m changing watts and torque for now.",1903,statement
247,Dash,I don’t understand. [SL] Something is still broken.,1903,statement
248,Rya,[UI],1903,statement
249,Natash,//[UI],1903,disruption
250,Ali,//[UI],1903,disruption
251,Rya,I chose…,1903,disruption
252,Zheny,You chose?,1903,question
253,Rya,"Yes, this one…",1903,floor-grabber
254,Zheny,Mhm. [SL] Now you need to enter your own… One as well?,1903,question
255,Rya,"Yes. One, one and then //checkmark.",1903,statement
256,Nastya to Ali,"//What did you do? //Ah, just that?",1903,question
257,Ali,"Yes, [UI]",1903,question
258,Nasty,"Yes, but why?",1903,question
259,Ali,Just…,1903,floor-grabber
260,Nasty,Then do it …for me too… Can you do mine now?,1903,question
261,Ali,…,1903,floor-grabber
262,Ryan to Zheny,And then… above…,1903,floor-grabber
263,Ali,Yours…//This is mine…,1903,floor-grabber
264,Nasty,"//Well yes, but mine… I also took. //Here it is.",1903,statement
265,Rya,//[UI],1903,statement
266,Natash,"Dasha, does yours work?",1903,question
267,Dash,//[UI],1903,disruption
268,Rya,//[UI],1903,disruption
269,Alik to Nasty,//[UI],1903,disruption
270,Natash,"//Well, if needed, enter watts at five hundred thousand…",1903,floor-grabber
271,Ali,//here someone wrote…,1903,floor-grabber
272,Dash,//[UI],1903,disruption
273,Ryan to Zheny,//Options…,1903,floor-grabber
274,Natash,And circulations…,1903,floor-grabber
275,Ryan to Zheny,And maybe checkmark…,1903,floor-grabber
276,Dash,//[UI],1903,disruption
277,Rya,Yes.,1903,statement
278,Nastya to Ali,[UI],1903,disruption
279,Rya,Click the checkmark and see if…,1903,floor-grabber
280,Ali,But who is hydrogeologist?,1903,question
281,Nasty,That girl is…,1903,floor-grabber
282,Ali,"Ah, yeah… [UI]",1903,disruption
283,Ryan to Zheny,Yes…,1903,floor-grabber
284,Nasty,And so… these two here need to sign off. Because I can’t see them. [UI],1903,statement
285,Dash,They’re such dorks…,1903,floor-grabber
286,Zheny,[UI],1903,disruption
287,Dash,"Yes, and you in particular.",1903,statement
288,Ali,Me? //I’m not on your team.,1903,statement
289,Dash,"Yes. //I asked you: [SL] Pipe restrictions – the more the better? You said: Yes. I thought I did that, and it turns out I didn’t. The more, the [UI]",1903,question
290,Natash,[UI],1903,statement
291,Ali,"Ah, now I see, Nastya.",1903,statement
292,Nasty,Yes? //[UI],1903,question
293,Rya,[UI],1903,question
294,Ali,"Maybe it works, but not where we are… We only understood that the fourth time…//Fine, now I’ll show you…",1903,disruption
295,Natash,//[UI],1903,disruption
296,Nasty,Okay.,1903,statement
297,Ali,Just a second.,1903,statement
298,Nasty,I can see you entering there [UI] A.,1903,statement
299,Ali,"Yeah…//Well, then…",1903,floor-grabber
300,Dasha to Rya,//Everything is working.,1903,statement
301,Ali,Then it was all in vain…,1903,floor-grabber
302,Dash,[UI],1903,disruption
303,Rya,Hmm. Refresh maybe.,1903,statement
304,Nasty,"Oh, great. We now have… Nine thousand //for population.",1903,statement
305,Dash,//Yours and mine…,1903,floor-grabber
306,Ali,"Oh, that’s good…",1903,floor-grabber
307,Nasty,"Yes, we’re finally not in the negatives.",1903,statement
308,Ali,That’s it… win.,1903,statement
309,Nasty,It’s good. I mean we have not much. It’s nine thousand – not minus like// last time. //[UI]population.,1903,statement
310,Ali,"//That’s it, Zhenya, people aren’t dying…",1903,statement
311,Zheny,//Yeah? //Thank God. //What do we need to do?,1903,question
312,Rya,//But we have [UI]?,1903,question
313,Dash,//[UI],1903,disruption
314,Ali,//Over there where Sign off is…,1903,floor-grabber
315,Rya,//[UI],1903,disruption
316,Ali,//You see sign off?,1903,question
317,Zheny,//Yes.,1903,statement
318,Ryan to Nasty,//[UI],1903,disruption
319,Ali,//And right under Sign off you see the number of people. How many people.,1903,statement
320,Zheny,"Well, I see nine.",1903,statement
321,Dash,//[UI],1903,disruption
322,Ali,"//There. Nine thousand three hundred ninety-one, right?",1903,question
323,Zheny,Mhm.,1903,backchannel
324,Ali,"There. So, that’s how many people //we can supply with water.",1903,statement
325,Natash,"//[SL] Cooper we’re leaving forty, right?",1903,question
326,Dash,"//Right now. So, I reloaded everything and //[UI]",1903,statement
327,Zheny,//Totally awesome. //What do you need there? //Checkmark and…,1903,question
328,Ali,"[SL] You need to reward the others as well. //If you’re ready, you can already…",1903,statement
329,Zheny,I was ready from the beginning.,1903,statement
330,Ali,So did you already //answer yours?,1903,question
331,Nasty,//Did you already sign off?,1903,question
332,Zheny,"No, I’m not answering… They already know [UI]",1903,disruption
333,Ali,"Okay, I’m activating Sign off now too…",1903,disruption
334,Nasty,"Ok, me too.",1903,statement
335,Ali,Nastya and I are ready.,1903,statement
336,Zheny,"Well, place the checkmark?",1903,question
337,Dash,No.,1903,statement
338,Nasty,Alik and I placed ours already.,1903,statement
339,Ali,Dasha isn’t ready yet.,1903,statement
340,Zheny,So now them and us.,1903,statement
341,Nasty,"Well, we clicked already.",1903,statement
342,Ali,And meteorologist… Ryan already placed one.,1903,statement
343,Zheny,"Well, yeah.",1903,statement
344,Rya,I placed one.,1903,statement
345,Zheny,You’re falling behind.,1903,statement
346,Dash,And [SL] CBC fifty was there initially?,1903,question
347,Natash,"//[UI]…ah, [SL] CBC?",1903,question
348,Dash,"No, [SL]CBC fifty… Tell me, please, five hundred thousand eight hundred… eighty thousand is correct for watts, right?",1903,question
349,Natash,Yes… [UI],1903,disruption
350,Dash,"Anyway, what’s here? Nothing?",1903,question
351,Natash,Your numbers don’t increase my output somehow. Only my numbers increase my output.,1903,statement
352,Dash,"Yes, yes, yes.",1903,statement
353,Rya,Pumps work…,1903,floor-grabber
354,Natash,"Yes. Torque… So, here we also have [UI] since they also placed checkmarks, entering more won’t work.",1903,statement
355,Dash,//Eighteen.,1903,statement
356,Rya,"//Eghteen… [UI] [SL] no, no, no… pipe materials.//CBC",1903,statement
357,Dash,[SL] CC.,1903,statement
358,Rya,Which one?,1903,question
359,Dash,"Five fifty… but, [UI] //[SL] eighty thousand.",1903,statement
360,Ali,"So, they didn’t answer you, right Nastya? Your question… Very good.",1903,statement
361,Nasty,They’re probably afraid [UI],1903,question
362,Dash,[UI],1903,disruption
363,Ali,Nastya said they are scared to answer.,1903,statement
364,Dash,[SL] Why do we need these Chicagoans?,1903,question
365,Zheny,//[UI],1903,statement
366,Ali,No answers about… She answered me.//[UI],1903,statement
367,Natash,//[UI],1903,statement
368,Dash,Ah Chicago – no.,1903,statement
369,Ali,Can Chicago hear anything?,1903,question
370,Dash,So why didn’t [SL] Zarya log on? We already logged on.,1903,statement
371,Nasty,//I do but hydrogeologist [SL] is not answering.,1903,question
372,Rya,Maybe they are not even on.,1903,statement
373,Ali,"No, they are on. They answered.",1903,statement
374,Rya,"//Oh, they did? Ok.",1903,question
375,Natash,//It worked. I see that checkmark.,1903,statement
376,Dash,//Did you eat a walnut?,1903,question
377,Ali,//[UI],1903,disruption
378,Nasty,No.,1903,statement
379,Dash,It’s like having soap in your mouth.,1903,statement
380,Nasty,//There is soap in the walnut.,1903,statement
381,Zheny,//Walnuts with soap are also delicious.,1903,statement
382,Dash,What kind again?,1903,question
383,Zheny,They just washed it but forgot to rinse.,1903,statement
384,Nasty,[UI],1903,question
385,Dash,"Ah, I get it now. Yes.",1903,statement
386,Ali,"She ate a walnut. She said it tasted like soap in her mouth. And she is like: “Yeah. It’s just a soap in your walnut” [UI]. //It’s fine, right? Like that.",1903,statement
387,Rya,[UI],1903,question
388,Zheny,No worries.,1903,statement
389,Ali,Like that…,1903,floor-grabber
390,Dash,"We’re waiting for six of them, right?",1903,question
391,Ali,We already did everything. We can wait.,1903,statement
392,Nasty,They just have [UI],1903,disruption
393,Ali,Yes.,1903,statement
394,Zheny,"Well, of course //we already finished.",1903,statement
395,Ali,//[UI],1903,statement
396,Natash,"Oh, I got hungry suddenly.",1903,statement
397,Zheny,Of course. You’re working hard.,1903,statement
398,Dash,"And, anyway, that’s why… none of them never did anything in the past.",1903,statement
399,Nasty,I think they just didn’t turn it on.//Our office is also relaxing now.,1903,statement
400,Alik to Dash,//[UI],1903,statement
401,Natash,Mechanical is me.,1903,statement
402,Dash,Terrain specialist  is also ours. Meteorologist is ours too. //[UI,1903,statement
403,Nastya to Ali,"//We need to connect with them somehow, maybe then they’ll…",1903,floor-grabber
404,Ali,"Well, they’re writing to us. She even answered one of them…",1903,floor-grabber
405,Nasty,We have one – hydrogeologist. She’s alive.,1903,statement
406,Natash,She just doesn’t have time to answer for everyone.,1903,statement
407,Dash,"She’s like our Duma with those buttons, right?",1903,question
408,Natash,"On all the rows, right?",1903,question
409,Dash,Drilling wrote something there… Drilling is yours?,1903,question
410,Nasty,//Yes.,1903,statement
411,Ali,//Yes. It’s Valeria.,1903,statement
412,Dash,And ours is totally lost.,1903,statement
413,Ali,They’re drinking tea.,1903,statement
414,Zheny,Building…,1903,floor-grabber
415,Dash,Maybe [UI],1903,disruption
416,Zheny,While [UI]… while [UI] . I wonder– should we play this again?,1903,question
417,Ali,We still need to //send letters.,1903,statement
418,Natash,//Letters.,1903,statement
419,Zheny,But we won’t be in this then?,1903,question
420,Ali,"Well, it’s ending now. Forty-five minutes… There… then we need to do one questionnaire and then send out letters.",1903,statement
421,Zheny,They’re not cancelling the questionnaire?,1903,question
422,Ali,[UI]? … no.,1903,statement
423,Zheny,[UI],1903,question
424,Dash,"Dang, really… bitter.",1903,statement
425,Zheny,Want another one?,1903,question
426,Dash,I don’t want another one.,1903,statement
427,Ali,"Nastya, they aren’t writing you, are they?",1903,question
428,Nasty,No.,1903,statement
429,Zheny,"I don’t know. For the second time, they didn’t send me the time. They used to at least tell me.",1903,statement
430,Alik to Nasty,//But can you see me?,1903,question
431,Nastya to Ali,Are you doing something now?,1903,question
432,Ali,"I wrote, yes.",1903,statement
433,Nasty,Just a sec. I’m answering…,1903,disruption
434,Zheny,I tried so hard. “Hello” I wrote.,1903,statement
435,Natash,All for nothing…,1903,floor-grabber
436,Zheny,I studied.,1903,statement
437,Ali,Twice the number of letters as last time.,1903,statement
438,Dash,We have such a cool chat with each other. How did I end up on a robot team anyway? [UI],1903,question
439,Ali,[UI],1903,question
440,Dash,Get out the herring and potatoes… I’m hungry.,1903,statement
441,Natash,With pleasure.,1903,statement
442,Dash,To [UI] I also agree.,1903,statement
443,Alik to Nasty,And you?,1903,question
444,Nasty,"Well, see – zero?",1903,question
445,Ali,"Ryan, did you get any messages?",1903,question
446,Rya,"//No, I don’t have.",1903,statement
447,Zheny,//Did it work?,1903,question
448,Ali,"Look: when they don’t do anything, we have good results- nine thousand people.",1903,statement
449,Natash,Yes.,1903,statement
450,Ali,No. I’m not saying anything. That’s just //how it is.,1903,statement
451,Dash,//Statistics.,1903,statement
452,Zheny,We’re doing it.,1903,statement
453,Natash,"We’re just sitting, watching, and doing nothing.",1903,statement
454,Zheny,"No, they’re probably reporting on paper: “Haven’t you even learned a couple words to answer with?”",1903,question
455,Dash,[UI],1903,question
456,Zheny,While sitting and reading…,1903,floor-grabber
457,Ali,"//But Nastya, on the contrary, wrote that she liked their video.",1903,statement
458,Dash,//I didn’t offend anyone…,1903,disruption
459,Nasty,//[UI],1903,disruption
460,Ali,She wrote to them…,1903,floor-grabber
461,Zheny,Nastya?,1903,question
462,Ali,Yes.,1903,statement
463,Zheny,It’s a good video. Some funny people in it. That Max is a good guy.,1903,statement
464,Ali,Our guy.,1903,statement
465,Zheny,Yes… I feel like he eats well. Very good.,1903,statement
466,Nasty,Will they translate us? All these conversations?,1903,question
467,Zheny,And what? We’re not saying anything wrong. Max is great.,1903,statement
468,Nasty,"Oh, Max answered “I think so.” That’s what he said.",1903,statement
469,Zheny,Did he answer you from last time?,1903,question
470,Nasty,Yes.,1903,statement
471,Zheny,Did it get there?,1903,question
472,Ali,In three weeks…,1903,disruption
473,Nasty,No “Hi” or anything. Where are his manners?,1903,question
474,Zheny,Sneeze on him…,1903,floor-grabber
475,Nasty,Amazing. And that hydrogeologist also didn’t say “Hi.” Alik and I are trying here…,1903,statement
476,Ali,Yes. We’re being nice.,1903,statement
477,Rya,Fluid engineer?,1903,question
478,Ali,That’s Dasha.,1903,statement
479,Natash,Mhm.,1903,backchannel
480,Dasha to Rya,Are you using smilies?,1903,question
481,Nastya to Ali,"It’s fine, right?",1903,question
482,Ali,I mean you don’t need to try. I even asked there…,1903,disruption
483,Zheny,"I told you from the very beginning, that all you need to write is “OK’ and that’s it… Oh, something came.",1903,statement
484,Ali,Oh!,1903,statement
485,Zheny,Fluid engineer.,1903,statement
486,Ali,It came from here…,1903,disruption
487,Zheny,"Ryan, where are you?",1903,question
488,Ali,Soapy walnut is writing…,1903,floor-grabber
489,Nasty,That’s a new nickname.,1903,statement
490,Natash,[UI],1903,disruption
491,Nastya to Rya,He called Dasha Soapy Walnut. It’s a new nickname.,1903,statement
492,Zheny,I didn’t get it right away. She says: “I ate soap.” And I said: “How did you eat soap?” A walnut like soap.,1903,statement
493,Nasty,You are [UI] and she is soapy walnut.,1903,statement
494,Rya,[UI],1903,statement
495,Nasty,We need four more.,1903,statement
496,Zheny,"Well, how about this – Kimberly…//So, what area we doing?...// [UI] not answering, right?",1903,question
497,Ali,//I don’t like all this for some reason. What the hell?,1903,question
498,Nasty,Write that to them.,1903,statement
499,Ali,"No, no need for that. They’ll get more offended. //Then they won’t talk to us at all.",1903,statement
500,Nasty,//What about us? Aren’t we offended?,1903,question
501,Zheny,Can we make a decision ourselves here or do we //need to wait?,1903,question
502,Dash,//Not for them.,1903,statement
503,Ali,"Well, they need to place checkmarks… and forty-five minutes and that’s it.",1903,statement
504,Zheny,"Well, I think this //[UI]",1903,disruption
505,Dash,How much has gone by? Are you keeping track of time?,1903,question
506,Zheny,"They stopped, I said, //a second time…",1903,disruption
507,Ali,"//Well, when…",1903,floor-grabber
508,Dash,"So how much? Fifty-seven minutes? Well, there was also the video in there, right? Fifteen minutes, // Ten minutes…",1903,question
509,Ali,"Well, these windows appear every ten minutes. Ten minutes, twenty minutes, thirty minutes. We’ve seen them twice now. Right?",1903,question
510,Dash,//Twenty minutes went by?,1903,question
511,Nasty,//[UI],1903,disruption
512,Ali,Next time it will be thirty minutes.,1903,statement
513,Dash,My God! We are such a  good team! Priceless. We saved almost nine thousand people.,1903,statement
514,Zheny,"I don’t know about saved, but at least…",1903,statement
515,Dash,Watered…,1903,floor-grabber
516,Zheny,[UI],1903,disruption
517,Rya,What did he say?,1903,question
518,Zheny,//[UI],1903,disruption
519,Ali,//We saved nine thousand people all by ourselves.,1903,statement
520,Natash,[UI] [SL] humor.,1903,statement
521,Rya,[UI],1903,disruption
522,Ali,[UI],1903,disruption
523,Nasty,No. [UI],1903,statement
524,Zheny,They depend.,1903,statement
525,Ali,On us.,1903,statement
526,Rya,They depend on us?,1903,question
527,Zheny,Yes. On us.,1903,statement
528,Rya,The time is ticking.,1903,statement
529,Natash,Time is ticking?,1903,question
530,Ali,Time is ticking.,1903,statement
531,Natash,[UI]. “Ticking” is “ticking”?,1903,question
532,Zheny,"Yes, [UI]",1903,disruption
533,Ali,Correct…,1903,floor-grabber
534,Natash,Time is ticking.,1903,statement
535,Nasty,Can I go to the bathroom?,1903,question
536,Ali,Of course.,1903,statement
537,Natash,There may be some messages…,1903,floor-grabber
