,Utterance_ID,Dialogue_Act,Channel_ID,Speaker,Dialogue_ID,Utterance,Label,Idx
1789,Bed004-c2_1664650_1666500,f,Bed004-c2,me010,Bed004,and uh ==,3,1789
1794,Bed004-c2_1672320_1673270,f,Bed004-c2,me010,Bed004,okay so so ==,3,1794
1795,Bed004-c2_1674190_1675450,f,Bed004-c2,me010,Bed004,uh ==,3,1795
1800,Bed004-c2_1692970_1693260,f,Bed004-c2,me010,Bed004,and ==,3,1800
1810,Bed004-c2_1714240_1715910,f,Bed004-c2,me010,Bed004,and um ==,3,1810
1811,Bed004-c2_1718170_1718920,f,Bed004-c2,me010,Bed004,so ==,3,1811
1816,Bed004-c2_1729160_1729340,f,Bed004-c2,me010,Bed004,yeah .,3,1816
1834,Bed004-c2_1813180_1814240,f,Bed004-c2,me010,Bed004,um ==,3,1834
1835,Bed004-c2_1816270_1817170,f,Bed004-c2,me010,Bed004,and ==,3,1835
1850,Bed004-c2_1873170_1874480,f,Bed004-c2,me010,Bed004,um ==,3,1850
1851,Bed004-c2_1878380_1879200,f,Bed004-c2,me010,Bed004,uh ==,3,1851
1869,Bed004-c4_1983080_1983300,f,Bed004-c4,mn015,Bed004,um ==,3,1869
1885,Bed004-c2_2058860_2059460,f,Bed004-c2,me010,Bed004,okay i'm sorry .,3,1885
1909,Bed004-c2_2116410_2116810,f,Bed004-c2,me010,Bed004,uh ==,3,1909
1956,Bed004-c2_2264790_2265070,f,Bed004-c2,me010,Bed004,yeah but ==,3,1956
1957,Bed004-c2_2265560_2265780,f,Bed004-c2,me010,Bed004,right .,3,1957
1998,Bed004-c2_2367840_2368790,f,Bed004-c2,me010,Bed004,um ==,3,1998
2014,Bed004-c2_2417410_2419560,f,Bed004-c2,me010,Bed004,so uh ==,3,2014
2020,Bed004-c2_2427530_2427720,f,Bed004-c2,me010,Bed004,right .,3,2020
2029,Bed004-c1_2447620_2447890,f,Bed004-c1,me003,Bed004,and ==,3,2029
2038,Bed004-c2_2467750_2467960,f,Bed004-c2,me010,Bed004,so ==,3,2038
2041,Bed004-c2_2473650_2474160,f,Bed004-c2,me010,Bed004,uh ==,3,2041
2088,Bed004-c2_2646200_2646420,f,Bed004-c2,me010,Bed004,yeah .,3,2088
2119,Bed004-c4_2763780_2764010,f,Bed004-c4,mn015,Bed004,yeah ==,3,2119
2127,Bed004-c2_2797180_2797660,f,Bed004-c2,me010,Bed004,uh ==,3,2127
2131,Bed004-c2_2808240_2808580,f,Bed004-c2,me010,Bed004,um ==,3,2131
2149,Bed004-c2_2875550_2876190,f,Bed004-c2,me010,Bed004,and ==,3,2149
2151,Bed004-c2_2876830_2877620,f,Bed004-c2,me010,Bed004,um ==,3,2151
2164,Bed004-c2_2901300_2902370,f,Bed004-c2,me010,Bed004,uh ==,3,2164
2169,Bed004-c4_2913360_2914190,f,Bed004-c4,mn015,Bed004,so ==,3,2169
2174,Bed004-c2_2921060_2921900,f,Bed004-c2,me010,Bed004,uh ==,3,2174
2218,Bed004-c2_3109830_3110710,f,Bed004-c2,me010,Bed004,uh ==,3,2218
2221,Bed004-c4_3121320_3122010,f,Bed004-c4,mn015,Bed004,but uh ==,3,2221
2232,Bed004-c4_3142380_3142530,f,Bed004-c4,mn015,Bed004,no .,3,2232
2251,Bed004-c4_3212780_3213900,f,Bed004-c4,mn015,Bed004,and um ==,3,2251
2259,Bed004-c2_3248030_3248270,f,Bed004-c2,me010,Bed004,right .,3,2259
2275,Bed004-c4_3295760_3296070,f,Bed004-c4,mn015,Bed004,so ==,3,2275
2281,Bed004-c4_3308030_3308160,f,Bed004-c4,mn015,Bed004,but ==,3,2281
2327,Bed005-c2_0242662_0242932,f,Bed005-c2,mn015,Bed005,so ==,3,2327
2330,Bed005-c1_0245890_0246890,f,Bed005-c1,me010,Bed005,um ==,3,2330
2343,Bed005-c2_0288324_0289754,f,Bed005-c2,mn015,Bed005,and um ==,3,2343
2346,Bed005-c2_0298699_0299099,f,Bed005-c2,mn015,Bed005,so ==,3,2346
2352,Bed005-c2_0310882_0311502,f,Bed005-c2,mn015,Bed005,and um ==,3,2352
2360,Bed005-c1_0326049_0327659,f,Bed005-c1,me010,Bed005,and um ==,3,2360
2365,Bed005-c1_0332867_0333877,f,Bed005-c1,me010,Bed005,um ==,3,2365
2367,Bed005-c1_0336156_0336826,f,Bed005-c1,me010,Bed005,um ==,3,2367
2377,Bed005-c1_0368377_0370557,f,Bed005-c1,me010,Bed005,but um ==,3,2377
2381,Bed005-c1_0375414_0375964,f,Bed005-c1,me010,Bed005,um ==,3,2381
2389,Bed005-c1_0397193_0397473,f,Bed005-c1,me010,Bed005,you know ==,3,2389
2399,Bed005-c2_0421490_0421680,f,Bed005-c2,mn015,Bed005,so ==,3,2399
2401,Bed005-c2_0428410_0428770,f,Bed005-c2,mn015,Bed005,so ==,3,2401
2405,Bed005-c2_0437395_0438645,f,Bed005-c2,mn015,Bed005,so um ==,3,2405
2408,Bed005-c2_0448261_0448621,f,Bed005-c2,mn015,Bed005,so ==,3,2408
2421,Bed005-c2_0466464_0467074,f,Bed005-c2,mn015,Bed005,and um ==,3,2421
2455,Bed005-c2_0522506_0522936,f,Bed005-c2,mn015,Bed005,and ==,3,2455
2463,Bed005-c2_0542302_0543342,f,Bed005-c2,mn015,Bed005,but um ==,3,2463
2490,Bed005-c2_0582510_0583530,f,Bed005-c2,mn015,Bed005,um ==,3,2490
2496,Bed005-c2_0593182_0593892,f,Bed005-c2,mn015,Bed005,um ==,3,2496
2513,Bed005-c2_0621166_0621986,f,Bed005-c2,mn015,Bed005,um ==,3,2513
2517,Bed005-c2_0630520_0632540,f,Bed005-c2,mn015,Bed005,um ==,3,2517
2519,Bed005-c2_0635890_0637211,f,Bed005-c2,mn015,Bed005,anyways so ==,3,2519
2524,Bed005-c2_0650245_0651315,f,Bed005-c2,mn015,Bed005,and um ==,3,2524
2526,Bed005-c2_0652822_0653772,f,Bed005-c2,mn015,Bed005,and um ==,3,2526
2534,Bed005-c2_0681228_0682308,f,Bed005-c2,mn015,Bed005,um ==,3,2534
2544,Bed005-c2_0697992_0699292,f,Bed005-c2,mn015,Bed005,and um ==,3,2544
2628,Bed005-c2_0849050_0849960,f,Bed005-c2,mn015,Bed005,and um ==,3,2628
2638,Bed005-c2_0865930_0866470,f,Bed005-c2,mn015,Bed005,um ==,3,2638
2641,Bed005-c2_0874590_0878700,f,Bed005-c2,mn015,Bed005,uh um ==,3,2641
2646,Bed005-c2_0896827_0897957,f,Bed005-c2,mn015,Bed005,um ==,3,2646
2659,Bed005-c2_0949520_0949780,f,Bed005-c2,mn015,Bed005,yeah .,3,2659
2664,Bed005-c2_0969566_0970506,f,Bed005-c2,mn015,Bed005,but um ==,3,2664
2680,Bed005-c2_1068870_1069770,f,Bed005-c2,mn015,Bed005,and um ==,3,2680
2735,Bed005-c3_1170370_1170920,f,Bed005-c3,me012,Bed005,so- ==,3,2735
2756,Bed005-c1_1195750_1196030,f,Bed005-c1,me010,Bed005,uh @@ ==,3,2756
2780,Bed005-c2_1265730_1266480,f,Bed005-c2,mn015,Bed005,and uh ==,3,2780
2795,Bed005-c1_1306070_1307300,f,Bed005-c1,me010,Bed005,uh ==,3,2795
2805,Bed005-c2_1327370_1329500,f,Bed005-c2,mn015,Bed005,uh um ==,3,2805
2816,Bed005-c2_1377580_1378120,f,Bed005-c2,mn015,Bed005,um ==,3,2816
2824,Bed005-c2_1404030_1404890,f,Bed005-c2,mn015,Bed005,and um ==,3,2824
2846,Bed005-c2_1440420_1441180,f,Bed005-c2,mn015,Bed005,and um ==,3,2846
2847,Bed005-c2_1442230_1443200,f,Bed005-c2,mn015,Bed005,and uh ==,3,2847
2860,Bed005-c2_1498350_1498710,f,Bed005-c2,mn015,Bed005,and ==,3,2860
2871,Bed005-c2_1541330_1541580,f,Bed005-c2,mn015,Bed005,so ==,3,2871
2874,Bed005-c1_1549110_1549870,f,Bed005-c1,me010,Bed005,um ==,3,2874
2882,Bed005-c1_1575820_1575970,f,Bed005-c1,me010,Bed005,oh ==,3,2882
2912,Bed005-c1_1645100_1645290,f,Bed005-c1,me010,Bed005,so ==,3,2912
2913,Bed005-c1_1645290_1646190,f,Bed005-c1,me010,Bed005,so yeah .,3,2913
2935,Bed005-c1_1695100_1695830,f,Bed005-c1,me010,Bed005,um ==,3,2935
2939,Bed005-c1_1702460_1704920,f,Bed005-c1,me010,Bed005,and um ==,3,2939
2946,Bed005-c1_1725420_1726340,f,Bed005-c1,me010,Bed005,and ==,3,2946
2986,Bed005-c1_1827520_1829810,f,Bed005-c1,me010,Bed005,but uh ==,3,2986
2989,Bed005-c1_1839060_1840580,f,Bed005-c1,me010,Bed005,and um ==,3,2989
3086,Bed005-c2_2079350_2080690,f,Bed005-c2,mn015,Bed005,um ==,3,3086
3108,Bed005-c1_2122620_2124060,f,Bed005-c1,me010,Bed005,um ==,3,3108
3115,Bed005-c1_2140010_2140580,f,Bed005-c1,me010,Bed005,uh ==,3,3115
3134,Bed005-c4_2178490_2178720,f,Bed005-c4,fe004,Bed005,yeah .,3,3134
3177,Bed005-c2_2290920_2291540,f,Bed005-c2,mn015,Bed005,and so ==,3,3177
3185,Bed005-c1_2310790_2311020,f,Bed005-c1,me010,Bed005,anyway .,3,3185
3189,Bed005-c5_2312990_2313860,f,Bed005-c5,mn036,Bed005,um so ==,3,3189
3193,Bed005-c1_2322130_2322980,f,Bed005-c1,me010,Bed005,so - uh - yeah ==,3,3193
3260,Bed005-c3_2497020_2497430,f,Bed005-c3,me012,Bed005,so ==,3,3260
3263,Bed005-c3_2501130_2501530,f,Bed005-c3,me012,Bed005,uh ==,3,3263
3283,Bed005-c3_2532810_2533260,f,Bed005-c3,me012,Bed005,so ==,3,3283
3287,Bed005-c3_2543340_2543700,f,Bed005-c3,me012,Bed005,so uh ==,3,3287
3294,Bed005-c3_2552850_2553190,f,Bed005-c3,me012,Bed005,uh ==,3,3294
3339,Bed005-c3_2631040_2632060,f,Bed005-c3,me012,Bed005,um ==,3,3339
3346,Bed005-c3_2669420_2669580,f,Bed005-c3,me012,Bed005,so ==,3,3346
3387,Bed005-c1_2813050_2814230,f,Bed005-c1,me010,Bed005,and ==,3,3387
3411,Bed005-c1_2841380_2844390,f,Bed005-c1,me010,Bed005,and uh ==,3,3411
3448,Bed005-c2_2976530_2976880,f,Bed005-c2,mn015,Bed005,so ==,3,3448
3464,Bed005-c1_3014420_3014750,f,Bed005-c1,me010,Bed005,uh ==,3,3464
3503,Bed005-c1_3069940_3072030,f,Bed005-c1,me010,Bed005,so uh um ==,3,3503
3516,Bed005-c1_3103050_3103950,f,Bed005-c1,me010,Bed005,uh ==,3,3516
3517,Bed005-c1_3104570_3104960,f,Bed005-c1,me010,Bed005,but anyway ==,3,3517
3518,Bed005-c1_3104960_3105110,f,Bed005-c1,me010,Bed005,so ==,3,3518
3522,Bed005-c1_3118640_3120170,f,Bed005-c1,me010,Bed005,but um ==,3,3522
3526,Bed005-c3_3129390_3129730,f,Bed005-c3,me012,Bed005,so ==,3,3526
3537,Bed005-c2_3176300_3176680,f,Bed005-c2,mn015,Bed005,but uh ==,3,3537
3545,Bed005-c1_3182590_3182790,f,Bed005-c1,me010,Bed005,yeah ==,3,3545
3547,Bed005-c1_3183540_3183750,f,Bed005-c1,me010,Bed005,no ==,3,3547
3583,Bed005-c3_3282700_3282940,f,Bed005-c3,me012,Bed005,so ==,3,3583
3602,Bed005-c1_3315930_3316630,f,Bed005-c1,me010,Bed005,and so ==,3,3602
3604,Bed005-c1_3317500_3317960,f,Bed005-c1,me010,Bed005,uh ==,3,3604
3617,Bed005-c2_3364670_3364850,f,Bed005-c2,mn015,Bed005,uh ==,3,3617
3621,Bed005-c2_3375510_3376390,f,Bed005-c2,mn015,Bed005,and um ==,3,3621
3648,Bed005-c2_3455510_3456260,f,Bed005-c2,mn015,Bed005,um ==,3,3648
3691,Bed005-c3_3561900_3562340,f,Bed005-c3,me012,Bed005,um ==,3,3691
3701,Bed005-c1_3580210_3580460,f,Bed005-c1,me010,Bed005,and ==,3,3701
3742,Bed005-c1_3663680_3664540,f,Bed005-c1,me010,Bed005,uh ==,3,3742
3770,Bed005-c1_3719380_3721040,f,Bed005-c1,me010,Bed005,but um ==,3,3770
3777,Bed005-c5_3740700_3741240,f,Bed005-c5,mn036,Bed005,y- - y- - yeah .,3,3777
3780,Bed005-c1_3742940_3744650,f,Bed005-c1,me010,Bed005,and um ==,3,3780
3883,Bed009-c5_0359309_0361316,f,Bed009-c5,me010,Bed009,and - an- ==,3,3883
3918,Bed009-c0_0461240_0461740,f,Bed009-c0,mn048,Bed009,so ==,3,3918
3921,Bed009-c5_0461929_0462239,f,Bed009-c5,me010,Bed009,so ==,3,3921
3922,Bed009-c5_0462771_0463301,f,Bed009-c5,me010,Bed009,okay so ==,3,3922
3927,Bed009-c5_0477356_0477976,f,Bed009-c5,me010,Bed009,uh ==,3,3927
3964,Bed009-c1_0601594_0602234,f,Bed009-c1,mn015,Bed009,okay so ==,3,3964
3966,Bed009-c1_0607510_0607930,f,Bed009-c1,mn015,Bed009,um ==,3,3966
4053,Bed009-c1_0915640_0915830,f,Bed009-c1,mn015,Bed009,so ==,3,4053
4146,Bed009-c5_1161030_1161120,f,Bed009-c5,me010,Bed009,and ==,3,4146
4147,Bed009-c5_1161480_1164110,f,Bed009-c5,me010,Bed009,okay so th- - that uh ==,3,4147
4251,Bed009-c5_1439920_1440120,f,Bed009-c5,me010,Bed009,right .,3,4251
4304,Bed009-c5_1583050_1583800,f,Bed009-c5,me010,Bed009,uh ==,3,4304
4321,Bed009-c5_1636740_1637670,f,Bed009-c5,me010,Bed009,uh ==,3,4321
4336,Bed009-c5_1665860_1667410,f,Bed009-c5,me010,Bed009,okay so it - z- ==,3,4336
4337,Bed009-c5_1667410_1668180,f,Bed009-c5,me010,Bed009,and s- ==,3,4337
4346,Bed009-c5_1683910_1684850,f,Bed009-c5,me010,Bed009,um ==,3,4346
4361,Bed009-c5_1742780_1745610,f,Bed009-c5,me010,Bed009,and i- - it ==,3,4361
4377,Bed009-c0_1770810_1770950,f,Bed009-c0,mn048,Bed009,yeah .,3,4377
4406,Bed009-c1_1852580_1853290,f,Bed009-c1,mn015,Bed009,and uh ==,3,4406
4515,Bed009-c3_2178300_2178570,f,Bed009-c3,mn047,Bed009,yeah .,3,4515
4523,Bed009-c3_2187780_2189270,f,Bed009-c3,mn047,Bed009,um - uh ==,3,4523
4534,Bed009-c3_2229340_2229660,f,Bed009-c3,mn047,Bed009,um ==,3,4534
4544,Bed009-c5_2252670_2252990,f,Bed009-c5,me010,Bed009,okay .,3,4544
4555,Bed009-c5_2266230_2266520,f,Bed009-c5,me010,Bed009,yeah .,3,4555
4567,Bed009-c3_2293630_2293880,f,Bed009-c3,mn047,Bed009,uh ==,3,4567
4601,Bed009-c0_2369250_2371040,f,Bed009-c0,mn048,Bed009,um - l- - um ==,3,4601
4633,Bed009-c1_2436740_2438050,f,Bed009-c1,mn015,Bed009,but um ==,3,4633
4638,Bed009-c5_2466810_2467970,f,Bed009-c5,me010,Bed009,uh ==,3,4638
4640,Bed009-c5_2479230_2480000,f,Bed009-c5,me010,Bed009,uh ==,3,4640
4644,Bed009-c5_2485640_2485960,f,Bed009-c5,me010,Bed009,uh ==,3,4644
4650,Bed009-c3_2495580_2496140,f,Bed009-c3,mn047,Bed009,um ==,3,4650
4662,Bed009-c5_2509030_2511750,f,Bed009-c5,me010,Bed009,um - w- ==,3,4662
4670,Bed009-c5_2524290_2525600,f,Bed009-c5,me010,Bed009,and - e- ==,3,4670
4679,Bed009-c5_2542590_2543580,f,Bed009-c5,me010,Bed009,um ==,3,4679
4694,Bed009-c5_2565700_2566840,f,Bed009-c5,me010,Bed009,and uh ==,3,4694
4708,Bed009-c3_2600860_2601280,f,Bed009-c3,mn047,Bed009,um ==,3,4708
4751,Bed009-c5_2658100_2658820,f,Bed009-c5,me010,Bed009,um ==,3,4751
4779,Bed009-c1_2746350_2746970,f,Bed009-c1,mn015,Bed009,and um ==,3,4779
4781,Bed009-c5_2755590_2756420,f,Bed009-c5,me010,Bed009,um ==,3,4781
4785,Bed009-c3_2764520_2764730,f,Bed009-c3,mn047,Bed009,uh .,3,4785
4862,Bed009-c5_3015630_3015900,f,Bed009-c5,me010,Bed009,uh ==,3,4862
4870,Bed009-c5_3040350_3041170,f,Bed009-c5,me010,Bed009,uh ==,3,4870
4876,Bed009-c5_3074700_3076240,f,Bed009-c5,me010,Bed009,and ==,3,4876
4927,Bed009-c5_3185990_3186180,f,Bed009-c5,me010,Bed009,right .,3,4927
5010,Bed011-c2_0425530_0425870,f,Bed011-c2,mn015,Bed011,yeah .,3,5010
5049,Bed011-c2_0517520_0518550,f,Bed011-c2,mn015,Bed011,and um ==,3,5049
5084,Bed011-c4_0593535_0593695,f,Bed011-c4,fe046,Bed011,but ==,3,5084
5133,Bed011-c3_0843550_0843630,f,Bed011-c3,me010,Bed011,yeah .,3,5133
5143,Bed011-c3_0900420_0900710,f,Bed011-c3,me010,Bed011,yeah yeah .,3,5143
5161,Bed011-c3_1002250_1003310,f,Bed011-c3,me010,Bed011,uh ==,3,5161
5181,Bed011-c3_1059660_1059760,f,Bed011-c3,me010,Bed011,yeah .,3,5181
5187,Bed011-c3_1077970_1080360,f,Bed011-c3,me010,Bed011,so um ==,3,5187
5199,Bed011-c2_1139060_1139600,f,Bed011-c2,mn015,Bed011,okay .,3,5199
5202,Bed011-c3_1144800_1145000,f,Bed011-c3,me010,Bed011,well ==,3,5202
5203,Bed011-c3_1145360_1145750,f,Bed011-c3,me010,Bed011,yeah .,3,5203
5206,Bed011-c3_1148960_1149200,f,Bed011-c3,me010,Bed011,yeah .,3,5206
5209,Bed011-c3_1151820_1151960,f,Bed011-c3,me010,Bed011,yeah .,3,5209
5267,Bed011-c1_1324860_1325160,f,Bed011-c1,me045,Bed011,yeah .,3,5267
5298,Bed011-c3_1408160_1410010,f,Bed011-c3,me010,Bed011,and uh ==,3,5298
5361,Bed011-c4_1542780_1542980,f,Bed011-c4,fe046,Bed011,but ==,3,5361
5381,Bed011-c3_1582080_1582530,f,Bed011-c3,me010,Bed011,and ==,3,5381
5447,Bed011-c2_1745130_1745420,f,Bed011-c2,mn015,Bed011,yeah .,3,5447
5497,Bed011-c1_1901440_1901780,f,Bed011-c1,me045,Bed011,okay .,3,5497
5498,Bed011-c1_1903090_1903360,f,Bed011-c1,me045,Bed011,okay .,3,5498
5501,Bed011-c3_1910770_1910910,f,Bed011-c3,me010,Bed011,yeah .,3,5501
5511,Bed011-c3_1923010_1923230,f,Bed011-c3,me010,Bed011,and ==,3,5511
5569,Bed011-c1_2036500_2036750,f,Bed011-c1,me045,Bed011,yeah .,3,5569
5687,Bed011-c2_2256720_2257540,f,Bed011-c2,mn015,Bed011,and um ==,3,5687
5696,Bed011-c3_2284390_2286130,f,Bed011-c3,me010,Bed011,w- - well ==,3,5696
5702,Bed011-c3_2297580_2298020,f,Bed011-c3,me010,Bed011,and ==,3,5702
5741,Bed011-c1_2395030_2395400,f,Bed011-c1,me045,Bed011,okay so ==,3,5741
5876,Bed011-c3_2731050_2732150,f,Bed011-c3,me010,Bed011,um ==,3,5876
5988,Bed011-c1_2959060_2959750,f,Bed011-c1,me045,Bed011,right exactly .,3,5988
6025,Bed011-c1_3048820_3049030,f,Bed011-c1,me045,Bed011,yeah .,3,6025
6043,Bed011-c1_3102570_3102820,f,Bed011-c1,me045,Bed011,yeah .,3,6043
6077,Bed011-c3_3174330_3174550,f,Bed011-c3,me010,Bed011,uhhuh .,3,6077
6131,Bed013-c3_0081720_0082950,f,Bed013-c3,mn015,Bed013,and um ==,3,6131
6138,Bed013-c3_0113812_0114342,f,Bed013-c3,mn015,Bed013,and uh ==,3,6138
6150,Bed013-c1_0138130_0138310,f,Bed013-c1,me003,Bed013,but ==,3,6150
6152,Bed013-c3_0142860_0144090,f,Bed013-c3,mn015,Bed013,and um ==,3,6152
6181,Bed013-c1_0271540_0272230,f,Bed013-c1,me003,Bed013,or uh ==,3,6181
