,speaker,content,block,session,labels,labels_h
47,Vika, Guys…,0,3,0,statement
48,Ashley, Mhm.,0,3,0,statement
49,Vika, The point number thirty-one four.,0,3,0,statement
50,Katya, Thirty-one four?,0,3,4,question
51,Vika, Yes. What do you think?,0,3,4,question
52,Saleh, Which point?,0,3,4,question
53,Vika, Thirty-one four.,0,3,0,statement
54,Katya, You haven’t looked yet?,0,3,4,question
55,Vika, We have.,0,3,0,statement
56,Katya," It doesn’t work, right?",0,3,4,question
57,Vika, It works for me.,0,3,0,statement
58,Katya, Is it okay for you?,0,3,4,question
59,Vika, Mhm.,0,3,0,statement
60,Katya," Perhaps, thirty-two fifteen works for everyone.",0,3,0,statement
61,Oleg, Just keep it as an extra point.,0,3,0,statement
62,Katya," Well, okay.",0,3,0,statement
63,Katya, Oh…,0,3,0,statement
64,Will," Did you say “thirty”, what?",0,3,4,question
65,Vika, Thirty-one four.,0,3,0,statement
66,Katya, The depth is great.,0,3,0,statement
67,Vika, That’s just wonderful. There’s a lot of water.,0,3,0,statement
68,Katya," Well, yes, but we will drill it…",0,3,0,statement
69,Oleg, Thirty-one four?,0,3,4,question
70,Vika, Yes.,0,3,0,statement
71,Katya, It’s twice as deep as... the previous point. //Twice as expensive.,0,3,0,statement
72,Oleg," //Four or fourteen? Vika, is it four or fourteen?",0,3,4,question
73,Vika, Four.,0,3,0,statement
74,Vika, No.,0,3,0,statement
75,Katya, Murky.,0,3,0,statement
76,Oleg, Too murky.,0,3,0,statement
77,Katya, Mhm.,0,3,0,statement
78,Vika, Only forty-four percent. But the rest...there are no impurities at all.,0,3,0,statement
79,Ashley, But there…it says here that only fifty population is possible.,0,3,0,statement
80,Oleg, There’s a lot of depth there.,0,3,0,statement
81,Ashley, So it wouldn’t be that way for a lot of people. Population reached.,0,3,0,statement
82,Vika, [UI],0,3,0,statement
83,Katya, That’s for her.,0,3,0,statement
84,Ashley, For her.,0,3,0,statement
85,Vika, Oh.,0,3,0,statement
86,Oleg, There. And the depth is great.,0,3,0,statement
87,Vika," The depth is great – it means a lot of water and, therefore, there will be enough for more people.",0,3,0,statement
88,Vika," Do you have a lot of people there [UI]? In that same place, if there’s more than necessary, then it’s just [SL] use.",0,3,0,statement
89,Oleg," So, cloudy impurities…cloudy impurities [UI]",0,3,0,statement
90,Katya," Saleh, what do you think about thirty-two fifteen point?",0,3,4,question
91,Vika, [UI],0,3,0,statement
92,Saleh, Hm…[UI],0,3,0,statement
93,Ashley, It’s not bad for me.,0,3,0,statement
94,Oleg, It’s…,0,3,0,statement
95,Katya, Not bad?,0,3,4,question
96,Ashley, Not bad.,0,3,0,statement
97,Oleg, I…,0,3,0,statement
98,Will, Which one?,0,3,4,question
99,Katya, Thirty-two fifteen. Thirty-two fifteen.,0,3,0,statement
100,Vika, [UI],0,3,0,statement
101,Katya," For me is not bad either, just, if it’s for everyone…",0,3,0,statement
102,Oleg," It’s great for me. For me, just one filter can tackle it.",0,3,0,statement
103,Will, Okay.,0,3,0,statement
104,Oleg," Yes, it’s…It’s just…",0,3,0,statement
105,Will," Average water loss. It’s just, there’s a lot of water loss.",0,3,0,statement
106,Oleg," A lot of water losses, is it high or what?",0,3,4,question
107,Will," Yes. It’s, like, we want it closer to zero, and this point is seventy-eight. It means that…[UI]…It just means that we lose a lot of water, in general.",0,3,0,statement
108,Katya," Look, maybe somewhere in this area, but where you will lose less water.",0,3,0,statement
109,Vika, Yes. I’m looking.,0,3,0,statement
110,Katya, Something right next to it.,0,3,0,statement
111,Vika, [UI],0,3,0,statement
112,Oleg," The only thing is I don’t know how the robots will climb there. It’s a slope. And, there, for meteorologists. Who is responsible for the location? It’s likely…",0,3,0,statement
113,Katya, Meteorology… Ashley is the meteorological…,0,3,0,statement
114,Oleg, No. Geologist.,0,3,0,statement
115,Katya," Oh, geologist. Hydrogeologist.",0,3,0,statement
116,Oleg, William is a hydrogeologist.,0,3,0,statement
117,Will," No, it’s Vika.",0,3,0,statement
118,Katya," No, it’s Vika.",0,3,0,statement
119,Oleg," Oh, you are a sedimentologist.",0,3,0,statement
120,Will, Mhm.,0,3,0,statement
121,Ashley," Nobody…nobody has received a response yet, right?",0,3,4,question
122,Oleg, No.,0,3,0,statement
123,Katya, Mhm,0,3,0,statement
124,Will, Mh-hm.,0,3,0,statement
125,Ashley, Me neither.,0,3,0,statement
126,Vika, Nope.,0,3,0,statement
127,Katya," Also, thirty-two thirteen is a good enough point.",0,3,0,statement
128,Will, Which one?,0,3,4,question
129,Katya, Thirty-two thirteen. Thirty-two thirteen. …Thirteen. …Thirteen.,0,3,0,statement
130,Oleg," Oh, yes! It’s absolutely great.",0,3,0,statement
131,Katya, We’re looking at thirty-two thirteen.,0,3,0,statement
132,Vika," Yes, we’re looking [SL] and getting amazed.",0,3,0,statement
133,Oleg, [UI],0,3,0,statement
134,Oleg, Rocky terrain.,0,3,0,statement
135,Vika, Too little water.,0,3,0,statement
136,Katya, Too little water?,0,3,4,question
137,Oleg, There’s none there.,0,3,0,statement
138,Vika, Mhm.,0,3,0,statement
139,Oleg, But it’s too accurate…,0,3,0,statement
140,Saleh, Thirty-two what?,0,3,4,question
141,Katya, Thirteen.,0,3,0,statement
142,Ashley, Thirty-two thirteen.,0,3,0,statement
143,Katya, Thirty-two…,0,3,0,statement
144,Vika," In terms of contamination, it’s perfect, but in terms of the size it’s not very good.",0,3,0,statement
145,Katya," I just have the lowest parameters. That is, you understand, this is the maximum ... that is, it’s just a reference point, which I can at least approve.",0,3,0,statement
146,Oleg," For me, it’s great…//great.",0,3,0,statement
147,Vika, //There will be too little water.,0,3,0,statement
148,Will," //Yes, and there will be water loss.",0,3,0,statement
149,Katya," //Is that minimal or just not enough? It’s just that if we have enough, then…",0,3,4,question
150,Vika," It’s, like, very little.",0,3,0,statement
151,Oleg," So, there won’t be enough water, right?",0,3,4,question
152,Katya," I mean, Vika, we need to find exactly something in the middle, so that for everyone...",0,3,0,statement
153,Vika," Yes, yes, yes, but it’s less than the average.",0,3,0,statement
154,Katya," Oh, is it less than the average?",0,3,4,question
155,Vika, Yes.,0,3,0,statement
156,Katya, Okay. It’s just the lowest point for me. All the indicators of the lowest point.,0,3,0,statement
157,Ashley," //For me, it’s still not a very big difference between fifteen and thirteen.",0,3,0,statement
158,Vika," //The previous one, too.",0,3,0,statement
159,Katya, Hm…,0,3,0,statement
160,Vika, Fifteen is better for me.,0,3,0,statement
161,Saleh," Thirty-two fifteen, I think.",0,3,0,statement
162,Ashley, Is better?,0,3,4,question
163,Saleh, Is better.,0,3,0,statement
164,Will, Fifteen is better. Which one?,0,3,4,question
165,Saleh, Thirty-two fifteen.,0,3,0,statement
166,Vika," So far, it’s the best point.",0,3,0,statement
167,Katya," So, it’s thirty-two fifteen, right?",0,3,4,question
168,Vika," Yes, it seems so.",0,3,0,statement
169,Will," Well, it looks that way.",0,3,0,statement
170,Saleh," Any information you have, guys?",0,3,4,question
171,Katya," So, thirty-two fifteen doesn’t work only for William, right?",0,3,4,question
172,Vika, Well…,0,3,3,follow-me
173,Katya, We lose a lot of water.,0,3,0,statement
174,Will," I’ll look again. [UI]. Okay, it’s okay.",0,3,0,statement
175,Will, [SL] Which one…,0,3,0,statement
176,Oleg," Saleh, which one did you want?",0,3,4,question
177,Saleh, Thirty-two fifteen.,0,3,0,statement
178,Will," [UI]. Okay, not bad.",0,3,0,statement
179,Saleh, Thirty-two?,0,3,4,question
180,Katya," Fifteen, yes.",0,3,0,statement
181,Will, [UI],0,3,0,statement
182,Oleg," Oh, well, this //at the very beginning, we...",0,3,0,statement
183,Saleh, //Fifteen.,0,3,0,statement
184,Katya," We’re talking about it, yes, as…",0,3,0,statement
185,Oleg," For me, it’s ideal.",0,3,0,statement
186,Will, Fifteen seems okay. Thirty-two fifteen.,0,3,0,statement
187,Ashley, What do you think of forty eighteen?,0,3,4,question
188,Katya, Let me take a look.,0,3,0,statement
189,Oleg, Forty eighteen? Hold on.,0,3,4,question
190,Vika, Just a second. I think I’ve found something…[UI],0,3,0,statement
191,Katya, [whispering] [UI],0,3,0,statement
192,Vika," Okay, forty eighteen?",0,3,4,question
193,Oleg, Um…,0,3,3,follow-me
194,Katya, Hm…,0,3,0,statement
195,Oleg, I’m all for it.,0,3,0,statement
196,Katya," Well, it’s very expensive. Well, it’s very expensive.",0,3,0,statement
197,Oleg," Well, the deposits here are not too deep, large rocks. For me, it’s totally awesome.",0,3,0,statement
198,Ashley, Not great?,0,3,4,question
199,Oleg, Good.,0,3,0,statement
200,Ashley, Okay. Forty eighteen?,0,3,4,question
201,Oleg, Um-m…,0,3,3,follow-me
202,Ashley, Or not?,0,3,4,question
203,Oleg, It’s…hold on.,0,3,0,statement
204,Katya, Saleh.,0,3,2,backchannel
205,Saleh, Depth of water - one thousand three hundred forty-four.,0,3,0,statement
206,Oleg," Just a second, hold on.",0,3,0,statement
207,Saleh, It’s…,0,3,0,statement
208,Oleg," Oh, there.",0,3,0,statement
209,Will, Forty…,0,3,0,statement
210,Katya, It’s too expensive.,0,3,0,statement
211,Saleh, Yeah.,0,3,2,backchannel
212,Will, Which one? //What’s the number?,0,3,4,question
213,Katya, //It’s too much.,0,3,0,statement
214,Vika, //It’s okay.,0,3,0,statement
215,Ashley, Forty eighteen.,0,3,0,statement
216,Vika," Oh, forty eighteen?",0,3,4,question
217,Ashley, Mhm.,0,3,0,statement
218,Vika, Thirty-one twenty-one. Oh…,0,3,0,statement
219,Katya, No. Forty eighteen.,0,3,0,statement
220,Vika, Why? //Where is it from? What is this?,0,3,4,question
221,Oleg, //Forty eighteen. The only thing is that the pumps ... it’s deep here.,0,3,0,statement
222,Saleh, //[UI] water depth,0,3,0,statement
223,Will, Water depth?,0,3,4,question
224,Saleh, Did you see it?,0,3,4,question
225,Oleg, One thousand three hundred and forty-four meters.,0,3,0,statement
226,Will," //Yes, I see. Yeah.",0,3,0,statement
227,Ashley," //Oh, so it’s too…",0,3,0,statement
228,Katya," For me it’s very good, because more water…",0,3,0,statement
229,Ashley, Too deep.,0,3,0,statement
230,Oleg," Yes, //but given the fact that it’s clean water.",0,3,0,statement
231,Ashley, //Uh-uh. Okay.,0,3,3,follow-me
232,Katya, //and for us it’s bad because it’s too much…,0,3,0,statement
233,Oleg, Less filtering. It works.,0,3,0,statement
234,Katya, My…,0,3,0,statement
235,Vika," Okay, I’ll now say for myself.",0,3,0,statement
236,Ashley, Um. Accessibility… [UI],0,3,0,statement
237,Will, It’s a good size.,0,3,0,statement
238,Vika, Um…,0,3,3,follow-me
239,Oleg, [UI],0,3,0,statement
240,Ashley, Accessibility…,0,3,0,statement
241,Vika, The output won’t be super strong. The water output.,0,3,0,statement
242,Oleg," Large…Okay, forty…",0,3,0,statement
243,Ashley, Because in this place the accessibility for us is very good and the climate there also looks very good.,0,3,0,statement
244,Will, Which one is that?,0,3,4,question
245,Ashley, And…forty eighteen. And also in this place seven thousand people can survive...,0,3,0,statement
246,Ashley, get access to this place.,0,3,0,statement
247,Katya, Forty eighteen.,0,3,0,statement
248,Ashley, Team signoff phase has begun.,0,3,0,statement
249,Oleg," Yes, yes.",0,3,0,statement
250,Katya, What is this?,0,3,4,question
251,Ashley, What is it?,0,3,4,question
252,Saleh, Why?,0,3,4,question
253,Will, Okay. Alright. Cause it’ll just be like that sometimes.,0,3,0,statement
254,Katya, Is that it? Is our time up?,0,3,4,question
255,Will," Alright, so, what are we going with? What number do we choose? Forty-eight fifteen? Thirty…",0,3,4,question
256,Oleg, Or…or…,0,3,0,statement
257,Ashley, Or thirty-two…,0,3,0,statement
258,Saleh, Wait. What happened now? Where //is the map?,0,3,4,question
259,Oleg, //If…,0,3,0,statement
260,Will," So, it kicked us…it’s still in one of those tabs here but it kicked us over to the team signoff.",0,3,0,statement
261,Ashley, But why is the chat not working?,0,3,4,question
262,Will," It may be working. It may not just be on. Maybe this is just for us. We don’t know. But we’re not getting anything from them, so we gotta move on.",0,3,0,statement
263,Ashley," Okay. //So, what do you guys think?",0,3,4,question
264,Will," //Okay, now…",0,3,0,statement
265,Ashley, Thirty-two fifteen or forty eighteen?,0,3,4,question
266,Katya," For me, forty-two fifteen – it’s two hundred and forty one hours of work. Forty eighteen – it’s three hundred and five hours of work. A small difference, but the difference is only in the cost.",0,3,0,statement
267,Katya, The cost is almost twice as high. It’s better…,0,3,0,statement
268,Will, Which one do you choose?,0,3,4,question
269,Katya," Of course, I would choose thirty-two fifteen, but //forty-eighteen is also fine, if it’s better for everyone, then we’ll choose that one.",0,3,0,statement
270,Will, //Thirty-five fif…thirty-two fifteen…,0,3,0,statement
271,Oleg, Hm…,0,3,0,statement
272,Will, Thirty-two fifteen but…,0,3,0,statement
273,Ashley, Yeah.,0,3,2,backchannel
274,Will, But forty eighteen is okay.,0,3,0,statement
275,Ashley, Yeah.,0,3,2,backchannel
276,Will, What are you taking?,0,3,4,question
277,Ashley," Um…Yeah, I’m sorry. Let me just…",0,3,0,statement
278,Will, Okay. Which one do you choose?,0,3,4,question
279,Oleg, I have thirty-two fifteen…,0,3,0,statement
280,Will, Is thirty-two fifteen okay?,0,3,4,question
281,Oleg, Yes.,0,3,0,statement
282,Will, What are you taking?,0,3,4,question
283,Vika, Thirty-two fifteen and forty-eighteen work for me.,0,3,0,statement
284,Will," Thirty-two fifteen? Also works, right?",0,3,4,question
285,Katya, Which one is better?,0,3,4,question
286,Vika, Forty eighteen.,0,3,0,statement
287,Katya," Oh, it doesn’t matter, right?",0,3,4,question
288,Will, Which one are you thinking?,0,3,4,question
289,Ashley, //You said “not important” or…,0,3,0,statement
290,Saleh, //Thirty-two fifteen?,0,3,4,question
291,Katya, The same.,0,3,0,statement
292,Will, Thirty-two fifteen.,0,3,0,statement
293,Vika, They are about…,0,3,0,statement
294,Ashley," Alright, that’s fine with me.",0,3,0,statement
295,Will," Okay, then, thirty…thirty-two fifteen.",0,3,0,statement
296,Ashley, Wait. I got here a response from Martian terrain specialist. 6:40 AM Chicago time.,0,3,0,statement
297,Will, What are they saying?,0,3,4,question
298,Ashley," They just said, you know, “We’re here”. Uh, so…We…receive…[UI]",0,3,0,statement
299,Oleg," Oh, they’ve established contact, right?",0,3,4,question
300,Katya," So, which one do we choose? Thirty-two fifteen? Which point?",0,3,4,question
301,Ashley, [UI],0,3,0,statement
302,Katya," We choose thirty-two fifteen, right?",0,3,4,question
303,Oleg," Well, yes for now.",0,3,0,statement
304,Vika," Now we are in our... in our group, yes, geologists?",0,3,4,question
305,Ashley," Yeah, so, for now I’m talking with my specific team.",0,3,0,statement
306,Will," Me too. I just said: “Hey, good morning. Good to see you. It just kicked us over to the signoff phase. Does it sound right to y’all? I’m writing this at 15:44 Moscow time. Let me know when you receive the shutdown time”",0,3,0,statement
307,Ashley, Yes. That’s basically along the lines of what I wrote to my team.,0,3,0,statement
308,Will, Okay cool.,0,3,0,statement
309,Oleg, Name [SL] and the rest you didn’t close?,0,3,0,statement
310,Ashley, Say again.,0,3,0,statement
311,Oleg, Name there.,0,3,0,statement
312,Ashley, Here?,0,3,4,question
313,Oleg, Yes. Yes.,0,3,0,statement
314,Ashley," On this side? I haven’t done this yet. Um, I...",0,3,4,question
315,Oleg, And now you…,0,3,0,statement
316,Ashley," I’m waiting. I’m talking to my team here, and I told them that we’re here together saying “thirty-two fifteen”.",0,3,0,statement
317,Saleh, Now we will go for that point? //Thirty-two fifteen?,0,3,4,question
318,Ashley, //And I’m waiting for their response.,0,3,0,statement
319,Oleg, Yes.,0,3,0,statement
320,Will, I think so.,0,3,0,statement
321,Ashley, Because they’re also…,0,3,0,statement
322,Will, Who can touch this Map cell?,0,3,4,question
323,Vika, I can. Just select the tab at the top.,0,3,0,statement
324,Oleg," So, they’ve started to answer me, too.",0,3,0,statement
325,Ashley, So weird.,0,3,0,statement
326,Ashley, It looks like they are looking at thirty-two fifteen.,0,3,0,statement
327,Saleh, Yeah.,0,3,2,backchannel
328,Ashley," Okay. So, that’s good.",0,3,0,statement
329,Saleh, They are checking it now.,0,3,0,statement
330,Ashley, Sorry?,0,3,4,question
331,Saleh, They are checking now. Checking…,0,3,0,statement
332,Katya," Well, okay. Ours has responded, too.",0,3,0,statement
333,Will, Chop! Hiya!,0,3,0,statement
334,Vika, Let’s get some meat.,0,3,0,statement
335,Will, Okay. How…how do I click?,0,3,4,question
336,Vika, Confirm this.,0,3,0,statement
337,Will," Yes. I only see “minus one, minus one”.",0,3,0,statement
338,Vika," Yes, me too.",0,3,0,statement
339,Ashley," I think somebody else has to enter it, like…",0,3,0,statement
340,Will," Yeah, that’s what I thought.",0,3,0,statement
341,Ashley, Like the operations person or something.,0,3,0,statement
342,Katya, [SL] How did you enlarge everything?,0,3,0,statement
343,Katya," Damn, I…something has happened to my page.",0,3,0,statement
344,Oleg," Oh, they wrote //that they are just starting.",0,3,0,statement
345,Vika, //I don’t have anything at all...I can’t write anything at all. Okay.,0,3,0,statement
346,Oleg," And, it’s 6:42 now? Early in the morning?",0,3,4,question
347,Will," Well, it’s six forty-seven now.",0,3,0,statement
348,Katya," William, I’m sorry, you don’t know how, so... Well, it got enlarged for me.",0,3,0,statement
349,Will, Yes.,0,3,0,statement
350,Katya, How can I reduce it? Because…,0,3,4,question
351,Vika, Yes. It happens.,0,3,0,statement
352,Ashley," Alright, I should probably stop writing. Give them a chance to respond.",0,3,0,statement
353,Vika, Nein!,0,3,0,statement
354,Will," [SL] Hello, can you call me Big Sedimentologist?",0,3,0,statement
355,Ashley, What?,0,3,4,question
356,Will," What? Okay, yeah. So, I’ve got…we got response from structural geologist.",0,3,4,question
357,Vika, Yep.,0,3,2,backchannel
358,Katya," Oh, cool.",0,3,0,statement
359,Will," And operation specialist, but nothing since I responded. So, I don’t know what the delay is. If there is a delay or what?",0,3,4,question
360,Saleh, Hm.,0,3,0,statement
361,Ashley," Oh, it’s early morning over there.",0,3,0,statement
362,Will, A bunch of undergrads.,0,3,0,statement
363,Ashley," I mean I would just be waking up and barely functioning at that time, so…",0,3,0,statement
364,Will, Time to party up. You already know what time it is… Morning time.,0,3,0,statement
365,Saleh," This delay is good for making tea, you know.",0,3,0,statement
366,Will, You want tea? You want tea really bad? I’ll get you your tea soon.,0,3,4,question
367,Ashley, No.,0,3,0,statement
368,Will," More like, “No”.",0,3,0,statement
369,Vika, Be professional.,0,3,0,statement
370,Will, Tea can be professional.,0,3,0,statement
371,Oleg," Katya, so…",0,3,0,statement
372,Katya, Hm?,0,3,4,question
373,Oleg, It’s for me... I sent the photos taken today,0,3,0,statement
374,Katya, Mhm.,0,3,0,statement
375,Oleg, about mushrooms.,0,3,0,statement
376,Katya," Yes, yes, yes.",0,3,0,statement
377,Oleg," There. And now, apparently, it’s reached the director. He said: “Urgently send off!”",0,3,0,statement
378,Katya," Ah! Oh. Mushrooms, right? ...Well, what did you manage to, yes, take a picture of?",0,3,4,question
379,Oleg," Yes. In short, they weren’t allowed to grow everything.",0,3,0,statement
380,Vika," Too bad, but still, we can…",0,3,0,statement
381,Vika, Oh la-la. //I think I’ve found another one...another one...,0,3,0,statement
382,Oleg, //[UI],0,3,0,statement
383,Will, //Okay.,0,3,1,disruption
384,Oleg, Point?,0,3,4,question
385,Will, Yeah.,0,3,2,backchannel
386,Vika, Point. Forty twenty-seven.,0,3,0,statement
387,Ashley, Forty …,0,3,0,statement
388,Will, Have they added forty twenty-seven?,0,3,4,question
389,Vika, No. I’ve only just found it.,0,3,0,statement
390,Will, Forty twenty-seven.,0,3,0,statement
391,Vika, It’s a pretty one.,0,3,0,statement
392,Katya," So, [SL] drilling site…",0,3,0,statement
393,Ashley, Hm…,0,3,0,statement
394,Vika, Nope. Alright.,0,3,0,statement
395,Will, No?,0,3,4,question
396,Ashley, Two red zones for me in this spot.,0,3,0,statement
397,Vika," Okay, so temperature is sixty. It’s so much.",0,3,0,statement
398,Oleg," Very deep. But it’s water-bearing, right, for you?",0,3,4,question
399,Ashley, Sorry. Say again. Sorry.,0,3,0,statement
400,Vika," So, temperature is sixty.",0,3,0,statement
401,Saleh, Where?,0,3,4,question
402,Vika, It’s so much. Forty twenty-six.,0,3,0,statement
403,Will, Damn…,0,3,0,statement
404,Saleh, //Forty?,0,3,4,question
405,Vika, //Yeah.,0,3,1,disruption
406,Saleh, //Twenty-six?,0,3,4,question
407,Vika, //Yeah.,0,3,1,disruption
408,Will, //What are you doing? You’re ruining my life.,0,3,4,question
409,Ashley, Twenty-six.,0,3,0,statement
410,Will, Mhm…,0,3,1,disruption
411,Will," There is a decent amount of water there. High water loss, though. That’s not good.",1,3,0,statement
412,Vika, Are you talking about forty twenty-six?,1,3,4,question
413,Ashley," So, my messages are kind of //being delayed it seems.",1,3,0,statement
414,Will," //Forty twenty-seven. Yeah, I think we’re all being delayed.",1,3,0,statement
415,Ashley, Okay.,1,3,0,statement
416,Will," Okay. They just came in. “Kind slow we’re finding there. 6:48 local time…”. Okay. So, that…it looks like we’re on a three-minute delay…",1,3,0,statement
417,Will," out, three-minute delay back. So, six-minute turnaround time. See, if it’s 6:40…okay.",1,3,0,statement
418,Ashley, That’s right.,1,3,0,statement
419,Will, Okay.,1,3,0,statement
420,Vika," Oh, they’ve responded to us.",1,3,0,statement
421,Katya, Okay. [UI],1,3,0,statement
422,Will, “Looks like there is three-minute delay. [UI]”,1,3,0,statement
423,Will, Okay. Okay. …[UI],1,3,0,statement
424,Vika, Oh.,1,3,0,statement
425,Oleg, Please answer the questions.,1,3,0,statement
426,Ashley, I got a reply from one... one person on my team said “thirty-two fifteen” is too expensive... from the maintenance perspective.,1,3,0,statement
427,Saleh, Translate.,1,3,0,statement
428,Katya, Our…,1,3,0,statement
429,Ashley, My maintenance specialist from my team is saying that “thirty-two fifteen” is a little bit expensive for …from a maintenance perspective.,1,3,0,statement
430,Will," From the geology team…yeah, that’s…they confirmed that it was okay for most of the geology team it seems to be okay but, yeah, they’re confirming that they were getting some pushback on that. So, they are checking out some different areas.",1,3,0,statement
431,Katya," And we have an answer about…from our operations specialist. He said that “Our terrain specialist said “It won’t support enough people…enough people. Only six hundred”. Any other ideas?”. And he said that he’s, like…",1,3,0,statement
432,Oleg," Let’s then, we will...",1,3,0,statement
433,Katya," It’s seven in the morning, for them.",1,3,0,statement
434,Will," And we’re not...we’re not thinking about Signoff right now. They said it didn’t matter. So, we’re not worried about signoff anything. They just said to go ahead and… keep working.",1,3,0,statement
435,Ashley," And... from my team, they also said that “forty eighteen” practically doesn’t work,",1,3,0,statement
436,Ashley, because…quantity of water…//there’s practically no water there.,1,3,0,statement
437,Katya, //Quantity of water.,1,3,0,statement
438,Will," //Yes, there’s none there. There’s no water there. There’s none there.",1,3,0,statement
439,Oleg," And regarding “thirty-two fifteen”, it’s too expensive, right?",1,3,4,question
440,Ashley," Yes. Too expensive, yes. Expensive, yes.",1,3,0,statement
441,Oleg," Well, we’ll find something now.",1,3,0,statement
442,Ashley," Oh, so, basically…And also, “forty eighteen” for my team, they say, basically, doesn’t work because the amount of water there is, basically, zero.",1,3,0,statement
443,Saleh, Mhm.,1,3,0,statement
444,Ashley, And they are looking at some potentially other locations now.,1,3,0,statement
445,Oleg," Look, please, five forty-eight.",1,3,0,statement
446,Will," Zero-five forty-eight, right?",1,3,4,question
447,Oleg," Zero-five forty-eight... It seems to me... Well, for me, it’s just ideal.",1,3,0,statement
448,Will, Mhm.,1,3,0,statement
449,Will, //There’s no…there’s no water there.,1,3,0,statement
450,Ashley, //Tell me that one more time.,1,3,0,statement
451,Oleg, Zero-five forty-eight. Right?,1,3,4,question
452,Ashley, Zero-five?,1,3,4,question
453,Will," Yes, but apparently there is no water there.",1,3,0,statement
454,Ashley, //Forty-eight.,1,3,0,statement
455,Katya," //But for me, Oleg, it’s simply the best decision of my life.",1,3,0,statement
456,Will," Yes, but if there’s no water there.",1,3,0,statement
457,Ashley, So…,1,3,3,follow-me
458,Katya," No water, right? //But the ground is so wonderful.",1,3,0,statement
459,Ashley, //Zero point five or...,1,3,0,statement
460,Vika," Wait, somewhere I found...",1,3,0,statement
461,Katya, //It’s just great.,1,3,0,statement
462,Will," //You want to make a hole, and there is zero amount of available water.",1,3,0,statement
463,Ashley, Five forty-eight.,1,3,0,statement
464,Katya," Yes, if we do…",1,3,0,statement
465,Will," And you see that there’s no water there, right?",1,3,4,question
466,Vika," Yes, I’m looking now.",1,3,0,statement
467,Ashley," Oh, where is it?",1,3,4,question
468,Katya, The ground //is so good. [UI],1,3,0,statement
469,Ashley, //Oh!,1,3,0,statement
470,Will, //Five forty-eight?,1,3,4,question
471,Vika," Yes, yes. There’s very little water and too small…",1,3,0,statement
472,Ashley," It’s too bad for me. There are six red zones, seven orange…",1,3,0,statement
473,Katya, Mhm.,1,3,0,statement
474,Will," There’s no water there, so it doesn’t matter.",1,3,0,statement
475,Vika, The water basin is very small.,1,3,0,statement
476,Ashley, Is there no water there?,1,3,4,question
477,Will, There is no water.,1,3,0,statement
478,Vika, //Only...only...only surface water.,1,3,0,statement
479,Ashley," //There’s no water at all either, so... none.",1,3,0,statement
